District,Year,Taluka,Rural/Urban,Boys,Girls,Total
Ahilyanagar,2012,Akole,Rural,2569,2088,4657
Ahilyanagar,2012,Akole,Urban,0,0,0
Ahilyanagar,2012,Akole,Total,2569,2088,4657
Ahilyanagar,2012,Sangamner,Rural,2093,1889,3982
Ahilyanagar,2012,Sangamner,Urban,1690,1507,3197
Ahilyanagar,2012,Sangamner,Total,3783,3396,7179
Ahilyanagar,2012,Kopargaon,Rural,1324,1144,2468
Ahilyanagar,2012,Kopargaon,Urban,1712,1613,3325
Ahilyanagar,2012,Kopargaon,Total,3036,2757,5793
Ahilyanagar,2012,Rahata,Rural,3908,3466,7374
Ahilyanagar,2012,Rahata,Urban,2275,1959,4234
Ahilyanagar,2012,Rahata,Total,6183,5425,11608
Ahilyanagar,2012,Srirampur,Rural,880,751,1631
Ahilyanagar,2012,Srirampur,Urban,1652,1443,3095
Ahilyanagar,2012,Srirampur,Total,2532,2194,4726
Ahilyanagar,2012,Nevasa,Rural,3304,2910,6214
Ahilyanagar,2012,Nevasa,Urban,0,0,0
Ahilyanagar,2012,Nevasa,Total,3304,2910,6214
Ahilyanagar,2012,Shevgaon,Rural,4798,4225,9023
Ahilyanagar,2012,Shevgaon,Urban,0,0,0
Ahilyanagar,2012,Shevgaon,Total,4798,4225,9023
Ahilyanagar,2012,Pathardi,Rural,1451,1212,2663
Ahilyanagar,2012,Pathardi,Urban,2370,1907,4277
Ahilyanagar,2012,Pathardi,Total,3821,3119,6940
Ahilyanagar,2012,Nagar,Rural,985,855,1840
Ahilyanagar,2012,Nagar,Urban,9599,8738,18337
Ahilyanagar,2012,Nagar,Total,10584,9593,20177
Ahilyanagar,2012,Rahuri,Rural,1001,863,1864
Ahilyanagar,2012,Rahuri,Urban,2086,2002,4088
Ahilyanagar,2012,Rahuri,Total,3087,2865,5952
Ahilyanagar,2012,Parner,Rural,2830,2449,5279
Ahilyanagar,2012,Parner,Urban,0,0,0
Ahilyanagar,2012,Parner,Total,2830,2449,5279
Ahilyanagar,2012,Srigonda,Rural,2149,1911,4060
Ahilyanagar,2012,Srigonda,Urban,737,673,1410
Ahilyanagar,2012,Srigonda,Total,2886,2584,5470
Ahilyanagar,2012,Karjat,Rural,2460,2242,4702
Ahilyanagar,2012,Karjat,Urban,0,0,0
Ahilyanagar,2012,Karjat,Total,2460,2242,4702
Ahilyanagar,2012,Jamkhed,Rural,2402,2137,4539
Ahilyanagar,2012,Jamkhed,Urban,0,0,0
Ahilyanagar,2012,Jamkhed,Total,2402,2137,4539
Ahilyanagar,2013,Akole,Rural,2468,2007,4475
Ahilyanagar,2013,Akole,Urban,0,0,0
Ahilyanagar,2013,Akole,Total,2468,2007,4475
Ahilyanagar,2013,Sangamner,Rural,2093,1889,3982
Ahilyanagar,2013,Sangamner,Urban,1727,1412,3139
Ahilyanagar,2013,Sangamner,Total,3820,3301,7121
Ahilyanagar,2013,Kopargaon,Rural,1324,1144,2468
Ahilyanagar,2013,Kopargaon,Urban,1693,1558,3251
Ahilyanagar,2013,Kopargaon,Total,3017,2702,5719
Ahilyanagar,2013,Rahata,Rural,3908,3466,7374
Ahilyanagar,2013,Rahata,Urban,2301,2015,4316
Ahilyanagar,2013,Rahata,Total,6209,5481,11690
Ahilyanagar,2013,Srirampur,Rural,880,751,1631
Ahilyanagar,2013,Srirampur,Urban,1660,1430,3090
Ahilyanagar,2013,Srirampur,Total,2540,2181,4721
Ahilyanagar,2013,Nevasa,Rural,3104,2743,5847
Ahilyanagar,2013,Nevasa,Urban,0,0,0
Ahilyanagar,2013,Nevasa,Total,3104,2743,5847
Ahilyanagar,2013,Shevgaon,Rural,4761,4187,8948
Ahilyanagar,2013,Shevgaon,Urban,0,0,0
Ahilyanagar,2013,Shevgaon,Total,4761,4187,8948
Ahilyanagar,2013,Pathardi,Rural,1451,1212,2663
Ahilyanagar,2013,Pathardi,Urban,2392,1941,4333
Ahilyanagar,2013,Pathardi,Total,3843,3153,6996
Ahilyanagar,2013,Nagar,Rural,985,855,1840
Ahilyanagar,2013,Nagar,Urban,9815,9052,18867
Ahilyanagar,2013,Nagar,Total,10800,9907,20707
Ahilyanagar,2013,Rahuri,Rural,1001,863,1864
Ahilyanagar,2013,Rahuri,Urban,1978,1831,3809
Ahilyanagar,2013,Rahuri,Total,2979,2694,5673
Ahilyanagar,2013,Parner,Rural,2776,2401,5177
Ahilyanagar,2013,Parner,Urban,0,0,0
Ahilyanagar,2013,Parner,Total,2776,2401,5177
Ahilyanagar,2013,Srigonda,Rural,2149,1911,4060
Ahilyanagar,2013,Srigonda,Urban,728,686,1414
Ahilyanagar,2013,Srigonda,Total,2877,2597,5474
Ahilyanagar,2013,Karjat,Rural,2271,2073,4344
Ahilyanagar,2013,Karjat,Urban,0,0,0
Ahilyanagar,2013,Karjat,Total,2271,2073,4344
Ahilyanagar,2013,Jamkhed,Rural,850,784,1634
Ahilyanagar,2013,Jamkhed,Urban,0,0,0
Ahilyanagar,2013,Jamkhed,Total,850,784,1634
Ahilyanagar,2014,Akole,Rural,2386,2172,4558
Ahilyanagar,2014,Akole,Urban,0,0,0
Ahilyanagar,2014,Akole,Total,2386,2172,4558
Ahilyanagar,2014,Sangamner,Rural,1706,1612,3318
Ahilyanagar,2014,Sangamner,Urban,3176,3003,6179
Ahilyanagar,2014,Sangamner,Total,4882,4615,9497
Ahilyanagar,2014,Kopargaon,Rural,848,776,1624
Ahilyanagar,2014,Kopargaon,Urban,1800,1605,3405
Ahilyanagar,2014,Kopargaon,Total,2648,2381,5029
Ahilyanagar,2014,Rahata,Rural,3640,3418,7058
Ahilyanagar,2014,Rahata,Urban,2276,2143,4419
Ahilyanagar,2014,Rahata,Total,5916,5561,11477
Ahilyanagar,2014,Srirampur,Rural,694,662,1356
Ahilyanagar,2014,Srirampur,Urban,2246,2042,4288
Ahilyanagar,2014,Srirampur,Total,2940,2704,5644
Ahilyanagar,2014,Nevasa,Rural,2854,2651,5505
Ahilyanagar,2014,Nevasa,Urban,0,0,0
Ahilyanagar,2014,Nevasa,Total,2854,2651,5505
Ahilyanagar,2014,Shevgaon,Rural,4553,4038,8591
Ahilyanagar,2014,Shevgaon,Urban,0,0,0
Ahilyanagar,2014,Shevgaon,Total,4553,4038,8591
Ahilyanagar,2014,Pathardi,Rural,996,790,1786
Ahilyanagar,2014,Pathardi,Urban,2199,2112,4311
Ahilyanagar,2014,Pathardi,Total,3195,2902,6097
Ahilyanagar,2014,Nagar,Rural,820,700,1520
Ahilyanagar,2014,Nagar,Urban,11105,10152,21257
Ahilyanagar,2014,Nagar,Total,11925,10852,22777
Ahilyanagar,2014,Rahuri,Rural,766,675,1441
Ahilyanagar,2014,Rahuri,Urban,1872,1754,3626
Ahilyanagar,2014,Rahuri,Total,2638,2429,5067
Ahilyanagar,2014,Parner,Rural,2024,1858,3882
Ahilyanagar,2014,Parner,Urban,0,0,0
Ahilyanagar,2014,Parner,Total,2024,1858,3882
Ahilyanagar,2014,Srigonda,Rural,1393,1226,2619
Ahilyanagar,2014,Srigonda,Urban,685,655,1340
Ahilyanagar,2014,Srigonda,Total,2078,1881,3959
Ahilyanagar,2014,Karjat,Rural,1998,1934,3932
Ahilyanagar,2014,Karjat,Urban,0,0,0
Ahilyanagar,2014,Karjat,Total,1998,1934,3932
Ahilyanagar,2014,Jamkhed,Rural,907,853,1760
Ahilyanagar,2014,Jamkhed,Urban,1415,1264,2679
Ahilyanagar,2014,Jamkhed,Total,2322,2117,4439
Ahilyanagar,2015,Akole,Rural,1841,1700,3541
Ahilyanagar,2015,Akole,Urban,402,380,782
Ahilyanagar,2015,Akole,Total,2243,2080,4323
Ahilyanagar,2015,Sangamner,Rural,1699,1545,3244
Ahilyanagar,2015,Sangamner,Urban,6254,5845,12099
Ahilyanagar,2015,Sangamner,Total,7953,7390,15343
Ahilyanagar,2015,Kopargaon,Rural,810,756,1566
Ahilyanagar,2015,Kopargaon,Urban,2806,2472,5278
Ahilyanagar,2015,Kopargaon,Total,3616,3228,6844
Ahilyanagar,2015,Rahata,Rural,4604,4341,8945
Ahilyanagar,2015,Rahata,Urban,3760,3386,7146
Ahilyanagar,2015,Rahata,Total,8364,7727,16091
Ahilyanagar,2015,Srirampur,Rural,613,588,1201
Ahilyanagar,2015,Srirampur,Urban,2890,2490,5380
Ahilyanagar,2015,Srirampur,Total,3503,3078,6581
Ahilyanagar,2015,Nevasa,Rural,2120,2058,4178
Ahilyanagar,2015,Nevasa,Urban,0,0,0
Ahilyanagar,2015,Nevasa,Total,2120,2058,4178
Ahilyanagar,2015,Shevgaon,Rural,3201,2954,6155
Ahilyanagar,2015,Shevgaon,Urban,0,0,0
Ahilyanagar,2015,Shevgaon,Total,3201,2954,6155
Ahilyanagar,2015,Pathardi,Rural,821,732,1553
Ahilyanagar,2015,Pathardi,Urban,3526,3338,6864
Ahilyanagar,2015,Pathardi,Total,4347,4070,8417
Ahilyanagar,2015,Nagar,Rural,762,758,1520
Ahilyanagar,2015,Nagar,Urban,7783,7009,14792
Ahilyanagar,2015,Nagar,Total,8545,7767,16312
Ahilyanagar,2015,Rahuri,Rural,695,584,1279
Ahilyanagar,2015,Rahuri,Urban,3454,3030,6484
Ahilyanagar,2015,Rahuri,Total,4149,3614,7763
Ahilyanagar,2015,Parner,Rural,1903,1777,3680
Ahilyanagar,2015,Parner,Urban,0,0,0
Ahilyanagar,2015,Parner,Total,1903,1777,3680
Ahilyanagar,2015,Srigonda,Rural,1499,1067,2566
Ahilyanagar,2015,Srigonda,Urban,1138,1006,2144
Ahilyanagar,2015,Srigonda,Total,2637,2073,4710
Ahilyanagar,2015,Karjat,Rural,1658,1562,3220
Ahilyanagar,2015,Karjat,Urban,425,334,759
Ahilyanagar,2015,Karjat,Total,2083,1896,3979
Ahilyanagar,2015,Jamkhed,Rural,885,822,1707
Ahilyanagar,2015,Jamkhed,Urban,1448,1048,2496
Ahilyanagar,2015,Jamkhed,Total,2333,1870,4203
Ahilyanagar,2016,Akole,Rural,2250,2056,4306
Ahilyanagar,2016,Akole,Urban,0,0,0
Ahilyanagar,2016,Akole,Total,2250,2056,4306
Ahilyanagar,2016,Sangamner,Rural,3951,3570,7521
Ahilyanagar,2016,Sangamner,Urban,264,272,536
Ahilyanagar,2016,Sangamner,Total,4215,3842,8057
Ahilyanagar,2016,Kopargaon,Rural,2331,2152,4483
Ahilyanagar,2016,Kopargaon,Urban,221,201,422
Ahilyanagar,2016,Kopargaon,Total,2552,2353,4905
Ahilyanagar,2016,Rahata,Rural,3323,2871,6194
Ahilyanagar,2016,Rahata,Urban,151,163,314
Ahilyanagar,2016,Rahata,Total,3474,3034,6508
Ahilyanagar,2016,Srirampur,Rural,1393,1235,2628
Ahilyanagar,2016,Srirampur,Urban,101,101,202
Ahilyanagar,2016,Srirampur,Total,1494,1336,2830
Ahilyanagar,2016,Nevasa,Rural,2495,2331,4826
Ahilyanagar,2016,Nevasa,Urban,0,0,0
Ahilyanagar,2016,Nevasa,Total,2495,2331,4826
Ahilyanagar,2016,Shevgaon,Rural,1657,1572,3229
Ahilyanagar,2016,Shevgaon,Urban,0,0,0
Ahilyanagar,2016,Shevgaon,Total,1657,1572,3229
Ahilyanagar,2016,Pathardi,Rural,2285,2082,4367
Ahilyanagar,2016,Pathardi,Urban,214,183,397
Ahilyanagar,2016,Pathardi,Total,2499,2265,4764
Ahilyanagar,2016,Nagar,Rural,4181,3759,7940
Ahilyanagar,2016,Nagar,Urban,6123,5400,11523
Ahilyanagar,2016,Nagar,Total,10304,9159,19463
Ahilyanagar,2016,Rahuri,Rural,2220,1929,4149
Ahilyanagar,2016,Rahuri,Urban,0,0,0
Ahilyanagar,2016,Rahuri,Total,2220,1929,4149
Ahilyanagar,2016,Parner,Rural,1997,1860,3857
Ahilyanagar,2016,Parner,Urban,60,61,121
Ahilyanagar,2016,Parner,Total,2057,1921,3978
Ahilyanagar,2016,Srigonda,Rural,1226,1099,2325
Ahilyanagar,2016,Srigonda,Urban,86,78,164
Ahilyanagar,2016,Srigonda,Total,1312,1177,2489
Ahilyanagar,2016,Karjat,Rural,1904,1558,3462
Ahilyanagar,2016,Karjat,Urban,0,0,0
Ahilyanagar,2016,Karjat,Total,1904,1558,3462
Ahilyanagar,2016,Jamkhed,Rural,2540,2131,4671
Ahilyanagar,2016,Jamkhed,Urban,0,0,0
Ahilyanagar,2016,Jamkhed,Total,2540,2131,4671
Ahilyanagar,2017,Akole,Rural,2250,2056,4306
Ahilyanagar,2017,Akole,Urban,0,0,0
Ahilyanagar,2017,Akole,Total,2250,2056,4306
Ahilyanagar,2017,Sangamner,Rural,3951,3570,7521
Ahilyanagar,2017,Sangamner,Urban,264,272,536
Ahilyanagar,2017,Sangamner,Total,4215,3842,8057
Ahilyanagar,2017,Kopargaon,Rural,2331,2152,4483
Ahilyanagar,2017,Kopargaon,Urban,221,201,422
Ahilyanagar,2017,Kopargaon,Total,2552,2353,4905
Ahilyanagar,2017,Rahata,Rural,3323,2871,6194
Ahilyanagar,2017,Rahata,Urban,151,163,314
Ahilyanagar,2017,Rahata,Total,3474,3034,6508
Ahilyanagar,2017,Srirampur,Rural,1393,1235,2628
Ahilyanagar,2017,Srirampur,Urban,101,101,202
Ahilyanagar,2017,Srirampur,Total,1494,1336,2830
Ahilyanagar,2017,Nevasa,Rural,2495,2331,4826
Ahilyanagar,2017,Nevasa,Urban,0,0,0
Ahilyanagar,2017,Nevasa,Total,2495,2331,4826
Ahilyanagar,2017,Shevgaon,Rural,1657,1572,3229
Ahilyanagar,2017,Shevgaon,Urban,0,0,0
Ahilyanagar,2017,Shevgaon,Total,1657,1572,3229
Ahilyanagar,2017,Pathardi,Rural,2285,2082,4367
Ahilyanagar,2017,Pathardi,Urban,214,183,397
Ahilyanagar,2017,Pathardi,Total,2499,2265,4764
Ahilyanagar,2017,Nagar,Rural,4181,3759,7940
Ahilyanagar,2017,Nagar,Urban,6123,5400,11523
Ahilyanagar,2017,Nagar,Total,10304,9159,19463
Ahilyanagar,2017,Rahuri,Rural,2220,1929,4149
Ahilyanagar,2017,Rahuri,Urban,0,0,0
Ahilyanagar,2017,Rahuri,Total,2220,1929,4149
Ahilyanagar,2017,Parner,Rural,1997,1860,3857
Ahilyanagar,2017,Parner,Urban,60,61,121
Ahilyanagar,2017,Parner,Total,2057,1921,3978
Ahilyanagar,2017,Srigonda,Rural,1226,1099,2325
Ahilyanagar,2017,Srigonda,Urban,86,78,164
Ahilyanagar,2017,Srigonda,Total,1312,1177,2489
Ahilyanagar,2017,Karjat,Rural,1904,1558,3462
Ahilyanagar,2017,Karjat,Urban,0,0,0
Ahilyanagar,2017,Karjat,Total,1904,1558,3462
Ahilyanagar,2017,Jamkhed,Rural,2540,2131,4671
Ahilyanagar,2017,Jamkhed,Urban,0,0,0
Ahilyanagar,2017,Jamkhed,Total,2540,2131,4671
Ahilyanagar,2018,Akole,Rural,1495,1308,2803
Ahilyanagar,2018,Akole,Urban,0,0,0
Ahilyanagar,2018,Akole,Total,1495,1308,2803
Ahilyanagar,2018,Sangamner,Rural,3673,3434,7107
Ahilyanagar,2018,Sangamner,Urban,811,777,1588
Ahilyanagar,2018,Sangamner,Total,4484,4211,8695
Ahilyanagar,2018,Kopargaon,Rural,1347,1304,2651
Ahilyanagar,2018,Kopargaon,Urban,833,785,1618
Ahilyanagar,2018,Kopargaon,Total,2180,2089,4269
Ahilyanagar,2018,Rahata,Rural,5903,5408,11311
Ahilyanagar,2018,Rahata,Urban,762,716,1478
Ahilyanagar,2018,Rahata,Total,6665,6124,12789
Ahilyanagar,2018,Srirampur,Rural,1163,1053,2216
Ahilyanagar,2018,Srirampur,Urban,808,746,1554
Ahilyanagar,2018,Srirampur,Total,1971,1799,3770
Ahilyanagar,2018,Nevasa,Rural,837,753,1590
Ahilyanagar,2018,Nevasa,Urban,0,0,0
Ahilyanagar,2018,Nevasa,Total,837,753,1590
Ahilyanagar,2018,Shevgaon,Rural,1394,1330,2724
Ahilyanagar,2018,Shevgaon,Urban,0,0,0
Ahilyanagar,2018,Shevgaon,Total,1394,1330,2724
Ahilyanagar,2018,Pathardi,Rural,767,753,1520
Ahilyanagar,2018,Pathardi,Urban,855,811,1666
Ahilyanagar,2018,Pathardi,Total,1622,1564,3186
Ahilyanagar,2018,Nagar,Rural,1159,1022,2181
Ahilyanagar,2018,Nagar,Urban,8750,7682,16432
Ahilyanagar,2018,Nagar,Total,9909,8704,18613
Ahilyanagar,2018,Rahuri,Rural,1305,1222,2527
Ahilyanagar,2018,Rahuri,Urban,0,0,0
Ahilyanagar,2018,Rahuri,Total,1305,1222,2527
Ahilyanagar,2018,Parner,Rural,1604,1480,3084
Ahilyanagar,2018,Parner,Urban,590,550,1140
Ahilyanagar,2018,Parner,Total,2194,2030,4224
Ahilyanagar,2018,Srigonda,Rural,877,710,1587
Ahilyanagar,2018,Srigonda,Urban,638,584,1222
Ahilyanagar,2018,Srigonda,Total,1515,1294,2809
Ahilyanagar,2018,Karjat,Rural,1298,1213,2511
Ahilyanagar,2018,Karjat,Urban,0,0,0
Ahilyanagar,2018,Karjat,Total,1298,1213,2511
Ahilyanagar,2018,Jamkhed,Rural,1601,1434,3035
Ahilyanagar,2018,Jamkhed,Urban,0,0,0
Ahilyanagar,2018,Jamkhed,Total,1601,1434,3035
Ahilyanagar,2019,Akole,Rural,1290,1136,2426
Ahilyanagar,2019,Akole,Urban,621,516,1137
Ahilyanagar,2019,Akole,Total,1911,1652,3563
Ahilyanagar,2019,Sangamner,Rural,1733,1592,3325
Ahilyanagar,2019,Sangamner,Urban,3872,3753,12099
Ahilyanagar,2019,Sangamner,Total,5605,5345,10950
Ahilyanagar,2019,Kopargaon,Rural,643,638,1281
Ahilyanagar,2019,Kopargaon,Urban,2420,2258,4678
Ahilyanagar,2019,Kopargaon,Total,3616,3228,6844
Ahilyanagar,2019,Rahata,Rural,5058,4578,9636
Ahilyanagar,2019,Rahata,Urban,2698,2395,5093
Ahilyanagar,2019,Rahata,Total,7756,6973,14729
Ahilyanagar,2019,Srirampur,Rural,588,558,1146
Ahilyanagar,2019,Srirampur,Urban,1947,1821,3768
Ahilyanagar,2019,Srirampur,Total,2535,2379,4914
Ahilyanagar,2019,Nevasa,Rural,1410,1356,2766
Ahilyanagar,2019,Nevasa,Urban,298,239,537
Ahilyanagar,2019,Nevasa,Total,1708,1595,3303
Ahilyanagar,2019,Shevgaon,Rural,2814,2678,5492
Ahilyanagar,2019,Shevgaon,Urban,0,0,0
Ahilyanagar,2019,Shevgaon,Total,2814,2678,5492
Ahilyanagar,2019,Pathardi,Rural,374,358,732
Ahilyanagar,2019,Pathardi,Urban,3536,3024,6560
Ahilyanagar,2019,Pathardi,Total,3910,3382,7292
Ahilyanagar,2019,Nagar,Rural,909,845,1754
Ahilyanagar,2019,Nagar,Urban,7302,6518,13820
Ahilyanagar,2019,Nagar,Total,8211,7363,15574
Ahilyanagar,2019,Rahuri,Rural,452,422,874
Ahilyanagar,2019,Rahuri,Urban,2089,1741,3830
Ahilyanagar,2019,Rahuri,Total,2541,2163,4704
Ahilyanagar,2019,Parner,Rural,1421,1276,2697
Ahilyanagar,2019,Parner,Urban,0,0,0
Ahilyanagar,2019,Parner,Total,1421,1276,2697
Ahilyanagar,2019,Srigonda,Rural,1116,1047,2163
Ahilyanagar,2019,Srigonda,Urban,750,688,1438
Ahilyanagar,2019,Srigonda,Total,1866,1735,3601
Ahilyanagar,2019,Karjat,Rural,798,723,1521
Ahilyanagar,2019,Karjat,Urban,810,644,1454
Ahilyanagar,2019,Karjat,Total,1608,1367,2975
Ahilyanagar,2019,Jamkhed,Rural,811,662,1473
Ahilyanagar,2019,Jamkhed,Urban,1453,1008,2461
Ahilyanagar,2019,Jamkhed,Total,2264,1670,3934
Ahilyanagar,2020,Akole,Rural,2198,1858,4056
Ahilyanagar,2020,Akole,Urban,0,0,0
Ahilyanagar,2020,Akole,Total,2198,1858,4056
Ahilyanagar,2020,Sangamner,Rural,2584,2210,4794
Ahilyanagar,2020,Sangamner,Urban,1204,1196,2400
Ahilyanagar,2020,Sangamner,Total,3788,3406,7194
Ahilyanagar,2020,Kopargaon,Rural,95,84,179
Ahilyanagar,2020,Kopargaon,Urban,1857,1826,3683
Ahilyanagar,2020,Kopargaon,Total,1952,1910,3862
Ahilyanagar,2020,Rahata,Rural,5204,4417,9621
Ahilyanagar,2020,Rahata,Urban,1292,1133,2425
Ahilyanagar,2020,Rahata,Total,6496,5550,12046
Ahilyanagar,2020,Srirampur,Rural,409,355,764
Ahilyanagar,2020,Srirampur,Urban,1381,1211,2592
Ahilyanagar,2020,Srirampur,Total,1790,1566,3356
Ahilyanagar,2020,Nevasa,Rural,1252,1139,2391
Ahilyanagar,2020,Nevasa,Urban,0,0,0
Ahilyanagar,2020,Nevasa,Total,1252,1139,2391
Ahilyanagar,2020,Shevgaon,Rural,1380,1298,2678
Ahilyanagar,2020,Shevgaon,Urban,0,0,0
Ahilyanagar,2020,Shevgaon,Total,1380,1298,2678
Ahilyanagar,2020,Pathardi,Rural,494,397,891
Ahilyanagar,2020,Pathardi,Urban,553,514,1067
Ahilyanagar,2020,Pathardi,Total,1047,911,1958
Ahilyanagar,2020,Nagar,Rural,3712,3529,7241
Ahilyanagar,2020,Nagar,Urban,7559,7566,15125
Ahilyanagar,2020,Nagar,Total,11271,11095,22366
Ahilyanagar,2020,Rahuri,Rural,1268,1117,2385
Ahilyanagar,2020,Rahuri,Urban,0,0,0
Ahilyanagar,2020,Rahuri,Total,1268,1117,2385
Ahilyanagar,2020,Parner,Rural,459,447,906
Ahilyanagar,2020,Parner,Urban,1367,1151,2518
Ahilyanagar,2020,Parner,Total,1826,1598,3424
Ahilyanagar,2020,Srigonda,Rural,709,586,1295
Ahilyanagar,2020,Srigonda,Urban,519,474,993
Ahilyanagar,2020,Srigonda,Total,1228,1060,2288
Ahilyanagar,2020,Karjat,Rural,836,744,1580
Ahilyanagar,2020,Karjat,Urban,0,0,0
Ahilyanagar,2020,Karjat,Total,836,744,1580
Ahilyanagar,2020,Jamkhed,Rural,1647,1461,3108
Ahilyanagar,2020,Jamkhed,Urban,0,0,0
Ahilyanagar,2020,Jamkhed,Total,1647,1461,3108
Ahilyanagar,2021,Akole,Rural,2074,1782,3856
Ahilyanagar,2021,Akole,Urban,0,0,0
Ahilyanagar,2021,Akole,Total,2074,1782,3856
Ahilyanagar,2021,Sangamner,Rural,4452,4102,8554
Ahilyanagar,2021,Sangamner,Urban,252,239,491
Ahilyanagar,2021,Sangamner,Total,4704,4341,9045
Ahilyanagar,2021,Kopargaon,Rural,2077,1801,3878
Ahilyanagar,2021,Kopargaon,Urban,49,37,86
Ahilyanagar,2021,Kopargaon,Total,2126,1838,3964
Ahilyanagar,2021,Rahata,Rural,6840,6360,13200
Ahilyanagar,2021,Rahata,Urban,174,153,327
Ahilyanagar,2021,Rahata,Total,7014,6513,13527
Ahilyanagar,2021,Srirampur,Rural,713,619,1332
Ahilyanagar,2021,Srirampur,Urban,29,25,54
Ahilyanagar,2021,Srirampur,Total,742,644,1386
Ahilyanagar,2021,Nevasa,Rural,1407,1200,2607
Ahilyanagar,2021,Nevasa,Urban,0,0,0
Ahilyanagar,2021,Nevasa,Total,1407,1200,2607
Ahilyanagar,2021,Shevgaon,Rural,2219,1893,4112
Ahilyanagar,2021,Shevgaon,Urban,0,0,0
Ahilyanagar,2021,Shevgaon,Total,2219,1893,4112
Ahilyanagar,2021,Pathardi,Rural,832,660,1492
Ahilyanagar,2021,Pathardi,Urban,43,49,92
Ahilyanagar,2021,Pathardi,Total,875,709,1584
Ahilyanagar,2021,Nagar,Rural,7103,6250,13353
Ahilyanagar,2021,Nagar,Urban,2321,2090,4411
Ahilyanagar,2021,Nagar,Total,9424,8340,17764
Ahilyanagar,2021,Rahuri,Rural,1366,1111,2477
Ahilyanagar,2021,Rahuri,Urban,0,0,0
Ahilyanagar,2021,Rahuri,Total,1366,1111,2477
Ahilyanagar,2021,Parner,Rural,2120,1901,4021
Ahilyanagar,2021,Parner,Urban,13,14,27
Ahilyanagar,2021,Parner,Total,2133,1915,4048
Ahilyanagar,2021,Srigonda,Rural,1936,1748,3684
Ahilyanagar,2021,Srigonda,Urban,29,26,55
Ahilyanagar,2021,Srigonda,Total,1965,1774,3739
Ahilyanagar,2021,Karjat,Rural,719,619,1338
Ahilyanagar,2021,Karjat,Urban,0,0,0
Ahilyanagar,2021,Karjat,Total,719,619,1338
Ahilyanagar,2021,Jamkhed,Rural,1747,1558,3305
Ahilyanagar,2021,Jamkhed,Urban,0,0,0
Ahilyanagar,2021,Jamkhed,Total,1747,1558,3305
Akola,2019,Telhara,Rural,202,282,484
Akola,2019,Telhara,Urban,111,130,241
Akola,2019,Telhara,Total,313,412,725
Akola,2019,Akot,Rural,128,115,243
Akola,2019,Akot,Urban,906,818,1724
Akola,2019,Akot,Total,1034,933,1967
Akola,2019,Balapur,Rural,242,136,378
Akola,2019,Balapur,Urban,392,224,616
Akola,2019,Balapur,Total,634,360,994
Akola,2019,Akola,Rural,832,201,1033
Akola,2019,Akola,Urban,9830,8628,18458
Akola,2019,Akola,Total,10662,8829,19491
Akola,2019,Murtijapur,Rural,298,152,450
Akola,2019,Murtijapur,Urban,1082,898,1980
Akola,2019,Murtijapur,Total,1380,1050,2430
Akola,2019,Patur,Rural,342,190,532
Akola,2019,Patur,Urban,38,22,60
Akola,2019,Patur,Total,380,212,592
Akola,2019,Barshitakali,Rural,268,210,478
Akola,2019,Barshitakali,Urban,135,172,307
Akola,2019,Barshitakali,Total,403,382,785
Akola,2020,Telhara,Rural,573,469,1042
Akola,2020,Telhara,Urban,464,495,959
Akola,2020,Telhara,Total,1037,964,2001
Akola,2020,Akot,Rural,442,567,1009
Akola,2020,Akot,Urban,762,512,1274
Akola,2020,Akot,Total,1204,1079,2283
Akola,2020,Balapur,Rural,520,468,988
Akola,2020,Balapur,Urban,403,451,854
Akola,2020,Balapur,Total,923,919,1842
Akola,2020,Akola,Rural,1224,1172,2396
Akola,2020,Akola,Urban,8104,6050,14154
Akola,2020,Akola,Total,9328,7222,16550
Akola,2020,Murtijapur,Rural,308,288,596
Akola,2020,Murtijapur,Urban,499,469,968
Akola,2020,Murtijapur,Total,807,757,1564
Akola,2020,Patur,Rural,725,669,1394
Akola,2020,Patur,Urban,69,72,141
Akola,2020,Patur,Total,794,741,1535
Akola,2020,Barshitakali,Rural,847,708,1555
Akola,2020,Barshitakali,Urban,267,257,524
Akola,2020,Barshitakali,Total,1114,965,2079
Akola,2021,Telhara,Rural,234,200,434
Akola,2021,Telhara,Urban,58,68,126
Akola,2021,Telhara,Total,292,268,560
Akola,2021,Akot,Rural,116,103,219
Akola,2021,Akot,Urban,222,232,454
Akola,2021,Akot,Total,338,335,673
Akola,2021,Balapur,Rural,137,105,242
Akola,2021,Balapur,Urban,141,125,266
Akola,2021,Balapur,Total,278,230,508
Akola,2021,Akola,Rural,114,106,220
Akola,2021,Akola,Urban,7761,7254,15015
Akola,2021,Akola,Total,7875,7360,15235
Akola,2021,Murtijapur,Rural,56,43,99
Akola,2021,Murtijapur,Urban,368,362,730
Akola,2021,Murtijapur,Total,424,405,829
Akola,2021,Patur,Rural,242,228,470
Akola,2021,Patur,Urban,17,11,28
Akola,2021,Patur,Total,259,239,498
Akola,2021,Barshitakali,Rural,20,9,29
Akola,2021,Barshitakali,Urban,138,148,286
Akola,2021,Barshitakali,Total,158,157,315
Amravati,2012,Dharani,Rural,1775,1745,3520
Amravati,2012,Dharani,Urban,0,0,0
Amravati,2012,Dharani,Total,1775,1745,3520
Amravati,2012,Chikhraldara,Rural,1021,912,1933
Amravati,2012,Chikhraldara,Urban,31,28,59
