District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Ahilyanagar,2013,Jamkhed,Rural,227,227,221,140,32,55,113
Ahilyanagar,2013,Jamkhed,Urban,0,0,0,0,0,0,0
Ahilyanagar,2013,Karjat,Total,315,315,311,198,16,101,172
Ahilyanagar,2013,Karjat,Rural,315,315,311,198,16,101,172
Ahilyanagar,2013,Karjat,Urban,0,0,0,0,0,0,0
Ahilyanagar,2013,Kopargaon,Total,255,255,255,196,38,21,281
Ahilyanagar,2013,Kopargaon,Rural,220,220,220,196,5,19,246
Ahilyanagar,2013,Kopargaon,Urban,35,35,35,0,33,2,35
Ahilyanagar,2013,Nagar,Total,724,724,723,471,186,67,589
Ahilyanagar,2013,Nagar,Rural,541,541,540,423,58,60,406
Ahilyanagar,2013,Nagar,Urban,183,183,183,48,128,7,183
Ahilyanagar,2013,Nevasa,Total,386,386,385,337,14,35,274
Ahilyanagar,2013,Nevasa,Rural,386,386,385,337,14,35,274
Ahilyanagar,2013,Nevasa,Urban,0,0,0,0,0,0,0
Ahilyanagar,2013,Parner,Total,362,362,359,315,6,41,322
Ahilyanagar,2013,Parner,Rural,362,362,359,315,6,41,322
Ahilyanagar,2013,Parner,Urban,0,0,0,0,0,0,0
Ahilyanagar,2013,Pathardi,Total,269,269,266,215,4,50,273
Ahilyanagar,2013,Pathardi,Rural,266,266,263,215,1,50,270
Ahilyanagar,2013,Pathardi,Urban,3,3,3,0,3,0,3
Ahilyanagar,2013,Rahata,Total,302,302,301,235,31,36,215
Ahilyanagar,2013,Rahata,Rural,299,299,298,235,28,36,212
Ahilyanagar,2013,Rahata,Urban,3,3,3,0,3,0,3
Ahilyanagar,2013,Rahuri,Total,331,331,329,252,10,69,203
Ahilyanagar,2013,Rahuri,Rural,324,324,322,248,9,67,196
Ahilyanagar,2013,Rahuri,Urban,7,7,7,4,1,2,7
Ahilyanagar,2013,Sangamner,Total,485,485,485,393,29,63,431
