District,Year,Taluka,Rural/Urban,Family Welfare Centers,Fertile Couples,Male Sterilization Numbers,Female Sterilization Numbers,IUDs Inserted,Other Family Planning Methods Used
Beed,2015,Shirur Kasar,Urban,1,0,0,148,0,1
Beed,2015,Shirur Kasar,Total,3,23394,0,440,105570,588
Beed,2015,Gevrai,Rural,6,29962,0,1427,45825,1528
Beed,2015,Gevrai,Urban,1,0,0,256,0,197
Beed,2015,Gevrai,Total,7,29962,0,1683,45825,1725
Beed,2015,Majalgaon,Rural,5,38364,0,620,24675,700
Beed,2015,Majalgaon,Urban,2,0,1,927,0,46
Beed,2015,Majalgaon,Total,7,38364,1,1547,24675,746
Beed,2015,Wadwani,Rural,2,15086,0,273,28800,380
Beed,2015,Wadwani,Urban,1,0,0,265,0,58
Beed,2015,Wadwani,Total,3,15086,0,538,28800,438
Beed,2015,Beed,Rural,8,50829,0,1229,46461,1464
Beed,2015,Beed,Urban,1,0,6,4137,0,6575
Beed,2015,Beed,Total,9,50829,6,5366,46461,8039
Beed,2015,Cage,Rural,6,39940,1,422,70362,876
Beed,2015,Cage,Urban,1,0,2,2547,0,266
Beed,2015,Cage,Total,7,39940,3,2969,70362,1142
Beed,2015,Dharur,Rural,2,18493,0,105,7498,308
Beed,2015,Dharur,Urban,1,0,2,288,170,116
Beed,2015,Dharur,Total,3,18493,2,393,7668,424
Beed,2015,Parli,Rural,5,28962,0,488,63600,721
Beed,2015,Parli,Urban,1,0,1,1014,13190,1260
Beed,2015,Parli,Total,6,28962,1,1502,76790,1981
Beed,2015,Ambajogai,Rural,5,31671,10,630,96812,942
Beed,2015,Ambajogai,Urban,2,0,28,1907,3420,184
Beed,2015,Ambajogai,Total,7,31671,38,2537,100232,1126
Beed,2016,Ashti,Rural,5,42452,0,423,1363,0
Beed,2016,Ashti,Urban,1,0,0,406,90,0
Beed,2016,Ashti,Total,6,42452,0,829,1453,0
Beed,2016,Patoda,Rural,4,20542,0,534,691,0
Beed,2016,Patoda,Urban,1,0,0,261,0,0
Beed,2016,Patoda,Total,5,20542,0,795,691,0
Beed,2016,Shirur Kasar,Rural,2,23460,0,326,847,0
Beed,2016,Shirur Kasar,Urban,1,0,0,101,0,0
Beed,2016,Shirur Kasar,Total,3,23460,0,427,847,0
Beed,2016,Gevrai,Rural,6,29962,0,1180,1458,0
Beed,2016,Gevrai,Urban,1,3231,0,868,108,0
Beed,2016,Gevrai,Total,7,33193,0,2048,1566,0
Beed,2016,Majalgaon,Rural,5,38364,0,450,1115,0
Beed,2016,Majalgaon,Urban,2,7865,0,846,222,0
Beed,2016,Majalgaon,Total,7,46229,0,1296,1337,0
Beed,2016,Wadwani,Rural,2,15086,0,338,372,0
Beed,2016,Wadwani,Urban,1,0,0,199,0,0
