Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,GDVA,Taxes on products,"Less subsidies on
products",GDDP,Population ('000),Per capita District Domestic Product
2011,Ahilyanagar,64050000000,35630000000,5840000000,160000000,105680000000,2040000000,107720000000,69380000000,7560000000,22710000000,99650000000,101690000000,29780000000,1690000000,11760000000,260000000,4480000000,33230000000,53820000000,11020000000,18790000000,164820000000,372190000000,52710000000,8500000000,416400000000,4565,91207
2012,Ahilyanagar,53490000000,36860000000,5840000000,90000000,96290000000,4730000000,101020000000,73800000000,7810000000,21490000000,103100000000,107830000000,32390000000,1720000000,12720000000,260000000,4620000000,35320000000,57380000000,11040000000,20130000000,175570000000,379690000000,55690000000,10250000000,425130000000,4604,92346
2013,Ahilyanagar,68680000000,43430000000,5610000000,170000000,117880000000,1090000000,118970000000,81250000000,7480000000,22330000000,111060000000,112140000000,31950000000,1780000000,13200000000,280000000,5220000000,40070000000,64000000000,11320000000,22150000000,189970000000,420000000000,60920000000,10600000000,470320000000,4642,101328
2014,Ahilyanagar,65930000000,47460000000,5640000000,180000000,119210000000,1980000000,121200000000,85150000000,8550000000,24030000000,117730000000,119720000000,32900000000,2010000000,14530000000,290000000,5740000000,43070000000,71930000000,11570000000,24690000000,206720000000,445650000000,64610000000,10330000000,499930000000,4679,106840
2015,Ahilyanagar,51390000000,49270000000,5660000000,100000000,106410000000,2530000000,108940000000,94300000000,8950000000,24470000000,127730000000,130250000000,33030000000,2150000000,16210000000,290000000,6800000000,45670000000,78560000000,12150000000,27040000000,221920000000,458580000000,66660000000,8300000000,516950000000,4717,109599
2016,Ahilyanagar,58340000000,52450000000,6020000000,110000000,116930000000,950000000,117870000000,100960000000,9250000000,25860000000,136070000000,137020000000,37180000000,2460000000,17650000000,290000000,6600000000,48300000000,86120000000,13080000000,30140000000,241820000000,495770000000,71930000000,7310000000,560390000000,4751,117954
2017,Ahilyanagar,76290000000,55400000000,5990000000,140000000,137810000000,240000000,138050000000,109240000000,10240000000,26370000000,145850000000,146080000000,40210000000,2810000000,19170000000,310000000,6230000000,49610000000,90830000000,13930000000,32640000000,255740000000,539640000000,79840000000,7070000000,612400000000,4783,128044
2018,Ahilyanagar,67990000000,61050000000,6250000000,150000000,135450000000,260000000,135710000000,115200000000,11030000000,26770000000,153000000000,153260000000,43520000000,2770000000,20660000000,320000000,6460000000,51920000000,98690000000,14400000000,35300000000,274040000000,562750000000,86450000000,7410000000,641790000000,4814,133307
2019,Ahilyanagar,61560000000,63790000000,6210000000,220000000,131780000000,3090000000,134870000000,112340000000,11490000000,26810000000,150640000000,153730000000,45560000000,2850000000,21880000000,330000000,7200000000,53280000000,105930000000,16800000000,38590000000,292430000000,577940000000,87890000000,8020000000,657800000000,4846,135749
2011,Akola,18380000000,2380000000,1450000000,150000000,22360000000,850000000,23210000000,28090000000,3060000000,9200000000,40350000000,41200000000,12060000000,680000000,4760000000,110000000,1810000000,13450000000,21790000000,4460000000,7610000000,66740000000,130300000000,18460000000,2980000000,145780000000,1825,79873
2012,Akola,22690000000,2490000000,1420000000,150000000,26750000000,970000000,27720000000,30180000000,3190000000,8790000000,42160000000,43130000000,13240000000,700000000,5200000000,110000000,1890000000,14450000000,23460000000,4510000000,8230000000,71800000000,141680000000,20770000000,3820000000,158630000000,1845,86000
2013,Akola,23070000000,2850000000,1340000000,240000000,27500000000,1680000000,29180000000,32570000000,3000000000,8950000000,44520000000,46200000000,12810000000,710000000,5290000000,110000000,2090000000,16060000000,25660000000,4540000000,8880000000,76150000000,149850000000,21740000000,3780000000,167810000000,1864,90033
2014,Akola,14210000000,2870000000,1390000000,120000000,18590000000,620000000,19220000000,34530000000,3470000000,9740000000,47750000000,48370000000,13340000000,810000000,5890000000,120000000,2330000000,17470000000,29170000000,4690000000,10010000000,83840000000,150800000000,21890000000,3500000000,169190000000,1883,89841
2015,Akola,14940000000,2910000000,1410000000,90000000,19350000000,910000000,20260000000,38220000000,3630000000,9920000000,51770000000,52680000000,13390000000,870000000,6570000000,120000000,2760000000,18510000000,31840000000,4920000000,10960000000,89950000000,161980000000,23570000000,2930000000,182620000000,1902,95991
2016,Akola,25340000000,2800000000,1690000000,140000000,29960000000,3170000000,33130000000,40060000000,3670000000,10260000000,53990000000,57160000000,14750000000,970000000,7000000000,120000000,2620000000,19160000000,34170000000,5190000000,11960000000,95950000000,183070000000,26630000000,2710000000,206990000000,1921,107778
2017,Akola,19030000000,3660000000,1720000000,160000000,24570000000,2150000000,26720000000,43640000000,4090000000,10530000000,58260000000,60420000000,16060000000,1120000000,7660000000,120000000,2490000000,19820000000,36280000000,5570000000,13040000000,102160000000,187150000000,27750000000,2460000000,212440000000,1938,109635
2018,Akola,25880000000,2870000000,1680000000,170000000,30590000000,1460000000,32050000000,46280000000,4430000000,10750000000,61470000000,62930000000,17490000000,1110000000,8300000000,130000000,2600000000,20860000000,39650000000,5780000000,14180000000,110100000000,203620000000,31320000000,2680000000,232250000000,1955,118809
2019,Akola,25720000000,2920000000,1520000000,170000000,30330000000,880000000,31210000000,45650000000,4670000000,10900000000,61220000000,62100000000,18510000000,1160000000,8890000000,140000000,2930000000,21650000000,43050000000,6830000000,15680000000,118840000000,211260000000,32140000000,2930000000,240470000000,1972,121946
2011,Amravati,26840000000,3940000000,4450000000,290000000,35530000000,580000000,36110000000,40090000000,4370000000,13120000000,57580000000,58160000000,17210000000,980000000,6790000000,150000000,2590000000,19200000000,31100000000,6370000000,10860000000,95240000000,188930000000,26760000000,4310000000,211370000000,2906,72744
2012,Amravati,36330000000,4300000000,4360000000,270000000,45260000000,730000000,45980000000,43160000000,4570000000,12570000000,60300000000,61020000000,18940000000,1010000000,7440000000,150000000,2700000000,20660000000,33560000000,6450000000,11770000000,102680000000,208960000000,30570000000,5620000000,233900000000,2935,79688
2013,Amravati,37920000000,4090000000,4270000000,320000000,46610000000,1060000000,47670000000,46810000000,4310000000,12860000000,63980000000,65040000000,18410000000,1030000000,7600000000,160000000,3010000000,23080000000,36870000000,6520000000,12760000000,109440000000,221080000000,31990000000,5570000000,247500000000,2965,83482
2014,Amravati,41540000000,1770000000,4170000000,360000000,47850000000,2100000000,49950000000,49130000000,4930000000,13860000000,67930000000,70030000000,18990000000,1160000000,8380000000,170000000,3310000000,24850000000,41510000000,6670000000,14250000000,119280000000,237160000000,34200000000,5470000000,265890000000,2994,88803
2015,Amravati,41850000000,5290000000,4250000000,380000000,51780000000,2440000000,54220000000,54460000000,5170000000,14130000000,73760000000,76200000000,19080000000,1240000000,9360000000,170000000,3930000000,26380000000,45370000000,7020000000,15620000000,128150000000,256130000000,37000000000,4600000000,288530000000,3024,95427
2016,Amravati,57520000000,7780000000,5220000000,220000000,70750000000,6120000000,76870000000,57630000000,5280000000,14760000000,77670000000,83800000000,21220000000,1400000000,10080000000,170000000,3770000000,27570000000,49160000000,7470000000,17210000000,138040000000,292580000000,41900000000,4260000000,330230000000,3051,108237
2017,Amravati,44000000000,6920000000,5210000000,320000000,56450000000,29490000000,85940000000,59860000000,5610000000,14450000000,79920000000,109410000000,22030000000,1540000000,10500000000,170000000,3420000000,27190000000,49770000000,7630000000,17890000000,140150000000,306010000000,42600000000,3770000000,344830000000,3077,112071
2018,Amravati,49510000000,7560000000,5500000000,270000000,62840000000,5080000000,67920000000,65850000000,6310000000,15300000000,87460000000,92540000000,24880000000,1590000000,11810000000,180000000,3690000000,29680000000,56420000000,8230000000,20180000000,156650000000,312030000000,47460000000,4070000000,355410000000,3103,114545
2019,Amravati,42690000000,7830000000,5570000000,300000000,56390000000,10530000000,66920000000,64450000000,6590000000,15380000000,86430000000,96960000000,26140000000,1640000000,12550000000,190000000,4130000000,30570000000,60780000000,9640000000,22140000000,167770000000,321120000000,47670000000,4350000000,364440000000,3129,116482
2011,Chh. Sambhaji Nagar,30790000000,12970000000,4230000000,370000000,48360000000,760000000,49120000000,69800000000,7600000000,22850000000,100250000000,101010000000,29960000000,1700000000,11830000000,260000000,4510000000,33430000000,54150000000,11080000000,18900000000,165820000000,315190000000,44640000000,7200000000,352640000000,3725,94660
2012,Chh. Sambhaji Nagar,19860000000,12420000000,4260000000,230000000,36760000000,1790000000,38550000000,74800000000,7920000000,21780000000,104490000000,106290000000,32830000000,1740000000,12890000000,260000000,4680000000,35800000000,58150000000,11190000000,20400000000,177950000000,320990000000,47050000000,8660000000,359390000000,3767,95415
2013,Chh. Sambhaji Nagar,39290000000,11530000000,4260000000,140000000,55220000000,910000000,56130000000,81400000000,7490000000,22370000000,111260000000,112170000000,32010000000,1780000000,13220000000,280000000,5230000000,40140000000,64120000000,11340000000,22190000000,190320000000,357710000000,51900000000,9030000000,400570000000,3808,105198
2014,Chh. Sambhaji Nagar,20030000000,18420000000,4450000000,250000000,43150000000,730000000,43880000000,85610000000,8600000000,24160000000,118370000000,119090000000,33080000000,2020000000,14600000000,290000000,5770000000,43300000000,72320000000,11630000000,24820000000,207830000000,370070000000,53700000000,8590000000,415180000000,3849,107869
2015,Chh. Sambhaji Nagar,32160000000,13160000000,4420000000,240000000,49970000000,1850000000,51820000000,94600000000,8980000000,24550000000,128130000000,129970000000,33140000000,2160000000,16260000000,290000000,6820000000,45820000000,78810000000,12190000000,27130000000,222620000000,402560000000,58570000000,7290000000,453840000000,3890,116664
2016,Chh. Sambhaji Nagar,38220000000,13420000000,5300000000,190000000,57130000000,860000000,57990000000,101110000000,9270000000,25890000000,136270000000,137130000000,37230000000,2460000000,17680000000,300000000,6610000000,48370000000,86250000000,13100000000,30180000000,242180000000,436440000000,63380000000,6440000000,493370000000,3929,125576
2017,Chh. Sambhaji Nagar,30130000000,17670000000,5830000000,220000000,53860000000,640000000,54500000000,109250000000,10240000000,26370000000,145870000000,146510000000,40210000000,2810000000,19170000000,310000000,6230000000,49620000000,90840000000,13930000000,32640000000,255770000000,456140000000,67590000000,5990000000,517740000000,3966,130549
2018,Chh. Sambhaji Nagar,23500000000,20910000000,6700000000,180000000,51290000000,2010000000,53300000000,114850000000,11000000000,26690000000,152540000000,154550000000,43390000000,2770000000,20590000000,320000000,6440000000,51760000000,98390000000,14360000000,35190000000,273210000000,479040000000,73710000000,6320000000,546440000000,4003,136516
2019,Chh. Sambhaji Nagar,30450000000,22510000000,6670000000,190000000,59830000000,820000000,60650000000,113400000000,11600000000,27070000000,152060000000,152890000000,45990000000,2880000000,22080000000,340000000,7270000000,53790000000,106930000000,16960000000,38960000000,295190000000,507910000000,77180000000,7050000000,578040000000,4040,143091
2011,Beed,30300000000,8660000000,2640000000,310000000,41910000000,1100000000,43010000000,29930000000,3260000000,9800000000,42990000000,44090000000,12850000000,730000000,5070000000,110000000,1930000000,14330000000,23220000000,4750000000,8100000000,71100000000,157100000000,22250000000,3590000000,175760000000,2598,67661
2012,Beed,22060000000,9090000000,2610000000,230000000,33990000000,1160000000,35150000000,32170000000,3400000000,9370000000,44940000000,46110000000,14120000000,750000000,5540000000,110000000,2010000000,15400000000,25010000000,4810000000,8770000000,76540000000,156630000000,22960000000,4220000000,175370000000,2619,66949
2013,Beed,30720000000,9780000000,2560000000,50000000,43110000000,1760000000,44860000000,34780000000,3200000000,9560000000,47530000000,49290000000,13680000000,760000000,5650000000,120000000,2230000000,17150000000,27390000000,4840000000,9480000000,81310000000,173700000000,25200000000,4390000000,194510000000,2641,73655
2014,Beed,19760000000,5380000000,2650000000,220000000,28010000000,940000000,28950000000,36780000000,3690000000,10380000000,50850000000,51790000000,14210000000,870000000,6270000000,130000000,2480000000,18600000000,31070000000,5000000000,10660000000,89280000000,169080000000,24540000000,3920000000,189690000000,2662,71250
2015,Beed,14310000000,6630000000,2510000000,180000000,23630000000,1350000000,24980000000,40670000000,3860000000,10560000000,55090000000,56440000000,14250000000,930000000,6990000000,130000000,2930000000,19700000000,33890000000,5240000000,11660000000,95720000000,175790000000,25580000000,3180000000,198180000000,2684,73853
2016,Beed,31050000000,9110000000,2620000000,170000000,42940000000,140000000,43080000000,43720000000,4010000000,11200000000,58920000000,59060000000,16100000000,1060000000,7640000000,130000000,2860000000,20920000000,37290000000,5670000000,13050000000,104720000000,206720000000,30000000000,3050000000,233670000000,2703,86449
2017,Beed,25390000000,11490000000,2550000000,340000000,39770000000,140000000,39910000000,47210000000,4420000000,11400000000,63030000000,63160000000,17370000000,1220000000,8280000000,130000000,2690000000,21440000000,39250000000,6020000000,14100000000,110520000000,213450000000,31600000000,2800000000,242250000000,2721,89032
2018,Beed,10540000000,9440000000,2710000000,260000000,22950000000,1240000000,24200000000,49480000000,4740000000,11500000000,65710000000,66950000000,18690000000,1190000000,8870000000,140000000,2770000000,22300000000,42390000000,6180000000,15160000000,117700000000,207600000000,31950000000,2740000000,236810000000,2739,86463
2019,Beed,23110000000,9800000000,2650000000,400000000,35970000000,3070000000,39040000000,47850000000,4890000000,11420000000,64160000000,67240000000,19410000000,1210000000,9320000000,140000000,3070000000,22700000000,45120000000,7150000000,16440000000,124560000000,227760000000,34840000000,3180000000,259420000000,2757,94106
2011,Bhandara,11690000000,2350000000,4520000000,950000000,19510000000,3250000000,22760000000,15180000000,1650000000,4970000000,21800000000,25050000000,6510000000,370000000,2570000000,60000000,980000000,7270000000,11770000000,2410000000,4110000000,36050000000,80610000000,11420000000,1840000000,90190000000,1206,74769
2012,Bhandara,12570000000,2480000000,4200000000,1020000000,20270000000,2590000000,22870000000,16260000000,1720000000,4740000000,22720000000,25320000000,7140000000,380000000,2800000000,60000000,1020000000,7790000000,12650000000,2430000000,4440000000,38700000000,84290000000,12510000000,2300000000,94490000000,1216,77693
2013,Bhandara,12380000000,2640000000,4250000000,960000000,20230000000,2280000000,22510000000,18010000000,1660000000,4950000000,24610000000,26890000000,7080000000,390000000,2930000000,60000000,1160000000,8880000000,14180000000,2510000000,4910000000,42100000000,89230000000,12980000000,2260000000,99950000000,1226,81517
2014,Bhandara,10890000000,3090000000,4480000000,1000000000,19460000000,3820000000,23280000000,18450000000,1850000000,5210000000,25510000000,29330000000,7130000000,430000000,3150000000,60000000,1240000000,9330000000,15580000000,2510000000,5350000000,44780000000,93570000000,13680000000,2190000000,105060000000,1236,84999
2015,Bhandara,10150000000,2910000000,4480000000,1000000000,18540000000,2890000000,21430000000,19860000000,1880000000,5150000000,26890000000,29790000000,6950000000,450000000,3410000000,60000000,1430000000,9620000000,16540000000,2560000000,5690000000,46730000000,95050000000,14440000000,1800000000,107690000000,1246,86445
2016,Bhandara,11490000000,2300000000,5850000000,2510000000,22150000000,3130000000,25280000000,20230000000,1850000000,5180000000,27260000000,30390000000,7450000000,490000000,3540000000,60000000,1320000000,9680000000,17250000000,2620000000,6040000000,48450000000,100990000000,15820000000,1610000000,115200000000,1255,91814
2017,Bhandara,6830000000,2880000000,7490000000,950000000,18150000000,600000000,18750000000,23180000000,2170000000,5600000000,30950000000,31550000000,8530000000,600000000,4070000000,70000000,1320000000,10530000000,19280000000,2960000000,6930000000,54270000000,103970000000,16330000000,1450000000,118860000000,1263,94102
2018,Bhandara,11490000000,2580000000,7140000000,90000000,21310000000,4560000000,25870000000,22800000000,2180000000,5300000000,30280000000,34850000000,8610000000,550000000,4090000000,60000000,1280000000,10280000000,19530000000,2850000000,6990000000,54240000000,110400000000,18340000000,1570000000,127160000000,1271,100025
2019,Bhandara,9870000000,2710000000,6520000000,490000000,19590000000,5290000000,24880000000,24530000000,2510000000,5860000000,32900000000,38180000000,9950000000,620000000,4780000000,70000000,1570000000,11640000000,23130000000,3670000000,8430000000,63860000000,121630000000,18560000000,1690000000,138500000000,1280,108242
2011,Buldhana,24660000000,5580000000,2250000000,390000000,32880000000,560000000,33440000000,25130000000,2740000000,8230000000,36100000000,36660000000,10790000000,610000000,4260000000,90000000,1620000000,12040000000,19500000000,3990000000,6810000000,59700000000,129240000000,18300000000,2950000000,144590000000,2599,55630
2012,Buldhana,23750000000,5850000000,2200000000,200000000,31990000000,350000000,32340000000,27100000000,2870000000,7890000000,37860000000,38210000000,11890000000,630000000,4670000000,100000000,1700000000,12970000000,21070000000,4050000000,7390000000,64480000000,134680000000,19720000000,3630000000,150780000000,2621,57522
2013,Buldhana,33640000000,5250000000,2300000000,390000000,41590000000,420000000,42010000000,29370000000,2700000000,8070000000,40150000000,40570000000,11550000000,640000000,4770000000,100000000,1890000000,14490000000,23140000000,4090000000,8010000000,68680000000,150840000000,21880000000,3810000000,168910000000,2643,63905
