Year,District,Taluka,Select Banks/ Bank Branches,Number
2019,Ahilyanagar,Rahuri,Classified Banks,11.0
2019,Ahilyanagar,Rahuri,Branch Offices,43.0
2019,Ahilyanagar,Parner,Classified Banks,8.0
2019,Ahilyanagar,Parner,Branch Offices,45.0
2019,Ahilyanagar,Srigonda,Classified Banks,13.0
2019,Ahilyanagar,Srigonda,Branch Offices,42.0
2019,Ahilyanagar,Karjat,Classified Banks,7.0
2019,Ahilyanagar,Karjat,Branch Offices,27.0
2019,Ahilyanagar,Jamkhed,Classified Banks,7.0
2019,Ahilyanagar,Jamkhed,Branch Offices,20.0
2020,Ahilyanagar,Akole,Classified Banks,6.0
2020,Ahilyanagar,Akole,Branch Offices,35.0
2020,Ahilyanagar,Sangamner,Classified Banks,22.0
2020,Ahilyanagar,Sangamner,Branch Offices,73.0
2020,Ahilyanagar,Kopargaon,Classified Banks,13.0
2020,Ahilyanagar,Kopargaon,Branch Offices,40.0
2020,Ahilyanagar,Rahata,Classified Banks,25.0
2020,Ahilyanagar,Rahata,Branch Offices,54.0
2020,Ahilyanagar,Srirampur,Classified Banks,16.0
2020,Ahilyanagar,Srirampur,Branch Offices,35.0
2020,Ahilyanagar,Nevasa,Classified Banks,9.0
2020,Ahilyanagar,Nevasa,Branch Offices,34.0
2020,Ahilyanagar,Shevgaon,Classified Banks,6.0
2020,Ahilyanagar,Shevgaon,Branch Offices,26.0
2020,Ahilyanagar,Pathardi,Classified Banks,9.0
2020,Ahilyanagar,Pathardi,Branch Offices,26.0
2020,Ahilyanagar,Nagar,Classified Banks,31.0
2020,Ahilyanagar,Nagar,Branch Offices,110.0
2020,Ahilyanagar,Rahuri,Classified Banks,11.0
2020,Ahilyanagar,Rahuri,Branch Offices,43.0
2020,Ahilyanagar,Parner,Classified Banks,8.0
2020,Ahilyanagar,Parner,Branch Offices,45.0
2020,Ahilyanagar,Srigonda,Classified Banks,13.0
2020,Ahilyanagar,Srigonda,Branch Offices,42.0
2020,Ahilyanagar,Karjat,Classified Banks,7.0
