Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Population ('000),Per capita District Domestic Product
2017,Nanded,22640000000,8580000000,5350000000,430000000,37000000000,2560000000,39560000000,61050000000,3970000000,15390000000,80410000000,82970000000,22680000000,1480000000,10400000000,160000000,2650000000,30650000000,42100000000,6460000000,18370000000,134940000000,254910000000,43740000000,3880000000,294780000000,3557,82863
2018,Nanded,27500000000,8710000000,6490000000,400000000,43100000000,1930000000,45030000000,64670000000,4400000000,15550000000,84610000000,86540000000,24610000000,1430000000,11160000000,170000000,2600000000,32140000000,46310000000,6680000000,19950000000,145030000000,274670000000,49000000000,4200000000,319480000000,3584,89144
2019,Nanded,31340000000,8850000000,6460000000,350000000,47000000000,2350000000,49350000000,63260000000,4590000000,15630000000,83480000000,85830000000,25840000000,1470000000,11850000000,170000000,2910000000,33090000000,49860000000,7820000000,21880000000,154900000000,287720000000,51020000000,4660000000,334090000000,3610,92541
2011,Nandurbar,15000000000,5600000000,1660000000,60000000,22320000000,2150000000,24470000000,11990000000,1040000000,4450000000,17480000000,19630000000,5680000000,300000000,2070000000,50000000,750000000,6720000000,8180000000,1610000000,3380000000,28750000000,70700000000,11570000000,1870000000,80400000000,1656,48549
2012,Nandurbar,15440000000,6060000000,1650000000,60000000,23200000000,1530000000,24730000000,12940000000,1090000000,4280000000,18300000000,19830000000,6300000000,310000000,2300000000,50000000,790000000,7300000000,8860000000,1640000000,3740000000,31280000000,74310000000,12670000000,2330000000,84640000000,1669,50708
2013,Nandurbar,20110000000,6210000000,1570000000,340000000,28230000000,440000000,28670000000,14750000000,840000000,4410000000,20010000000,20450000000,6210000000,320000000,2370000000,50000000,800000000,8360000000,9870000000,1690000000,4160000000,33840000000,82510000000,13950000000,2430000000,94030000000,1682,55896
2014,Nandurbar,10850000000,4920000000,1540000000,340000000,17650000000,220000000,17870000000,15580000000,1130000000,4800000000,21510000000,21730000000,6400000000,360000000,2650000000,50000000,920000000,9040000000,11110000000,1750000000,4710000000,36980000000,76360000000,12940000000,2070000000,87240000000,1695,51457
2015,Nandurbar,11110000000,6010000000,1510000000,130000000,18760000000,600000000,19360000000,17490000000,1200000000,4900000000,23580000000,24190000000,6380000000,380000000,3010000000,50000000,1120000000,9560000000,12230000000,1850000000,5190000000,39780000000,82730000000,13960000000,1740000000,94950000000,1708,55583
2016,Nandurbar,14160000000,7810000000,1570000000,90000000,23640000000,530000000,24170000000,18980000000,1270000000,5120000000,25380000000,25910000000,7160000000,430000000,3280000000,50000000,1040000000,10060000000,13400000000,2000000000,5770000000,43200000000,92740000000,15520000000,1580000000,106690000000,1720,62028
2017,Nandurbar,15820000000,4680000000,1530000000,90000000,22120000000,5630000000,27740000000,19020000000,1240000000,4790000000,25050000000,30670000000,7070000000,460000000,3240000000,50000000,820000000,9550000000,13110000000,2010000000,5720000000,42040000000,94830000000,16310000000,1450000000,109700000000,1731,63380
2018,Nandurbar,13760000000,8010000000,1540000000,140000000,23440000000,600000000,24040000000,21690000000,1470000000,5220000000,28380000000,28980000000,8250000000,480000000,3740000000,60000000,870000000,10780000000,15530000000,2240000000,6690000000,48640000000,101060000000,18010000000,1540000000,117530000000,1742,67485
2019,Nandurbar,16920000000,8440000000,1510000000,110000000,26980000000,30000000,27010000000,21520000000,1560000000,5320000000,28400000000,28430000000,8790000000,500000000,4030000000,60000000,990000000,11260000000,16960000000,2660000000,7440000000,52690000000,108110000000,19060000000,1740000000,125420000000,1752,71578
2011,Nashik,70680000000,14100000000,4840000000,280000000,89890000000,4760000000,94660000000,100050000000,8720000000,37170000000,145940000000,150710000000,47440000000,2480000000,17320000000,380000000,6230000000,56110000000,68260000000,13470000000,28260000000,239950000000,480550000000,78630000000,12680000000,546500000000,6146,88914
2012,Nashik,95400000000,14740000000,4780000000,240000000,115160000000,7810000000,122970000000,105820000000,8890000000,34980000000,149700000000,157510000000,51550000000,2540000000,18780000000,390000000,6420000000,59670000000,72440000000,13450000000,30560000000,255800000000,528470000000,90070000000,16570000000,601970000000,6214,96880
2013,Nashik,114600000000,13530000000,4700000000,280000000,133110000000,1890000000,135000000000,119570000000,6830000000,35770000000,162180000000,164070000000,50370000000,2590000000,19170000000,400000000,6480000000,67790000000,80050000000,13700000000,33750000000,274290000000,571470000000,96630000000,16820000000,651290000000,6281,103698
2014,Nashik,92620000000,14170000000,4680000000,280000000,111760000000,2220000000,113990000000,125680000000,9080000000,38740000000,173500000000,175730000000,51640000000,2900000000,21370000000,420000000,7440000000,72890000000,89600000000,14080000000,37990000000,298320000000,585820000000,99350000000,15890000000,669280000000,6348,105436
2015,Nashik,91070000000,11020000000,4640000000,260000000,106990000000,8880000000,115870000000,139960000000,9570000000,39170000000,188700000000,197570000000,51030000000,3040000000,24100000000,410000000,8990000000,76500000000,97830000000,14830000000,41540000000,318280000000,622840000000,105240000000,13100000000,714990000000,6415,111461
2016,Nashik,103680000000,12960000000,4830000000,280000000,121740000000,1230000000,122980000000,154230000000,10310000000,41640000000,206180000000,207410000000,58130000000,3530000000,26650000000,420000000,8450000000,81770000000,108890000000,16240000000,46870000000,350950000000,680110000000,113850000000,11570000000,782390000000,6478,120782
2017,Nashik,127010000000,12960000000,4790000000,280000000,145040000000,350000000,145390000000,167250000000,10880000000,42150000000,220280000000,220630000000,62130000000,4060000000,28500000000,440000000,7250000000,83960000000,115320000000,17690000000,50320000000,369670000000,735340000000,126020000000,11170000000,850200000000,6538,130046
2018,Nashik,105600000000,17110000000,4930000000,300000000,127930000000,1290000000,129230000000,176170000000,11980000000,42360000000,230510000000,231800000000,67040000000,3900000000,30390000000,450000000,7090000000,87550000000,126150000000,18190000000,54340000000,395100000000,754830000000,134630000000,11540000000,877920000000,6598,133066
2019,Nashik,108930000000,17250000000,4850000000,340000000,131360000000,2730000000,134080000000,172750000000,12540000000,42670000000,227960000000,230690000000,70570000000,4030000000,32370000000,470000000,7940000000,90360000000,136170000000,21340000000,59750000000,422990000000,785040000000,138830000000,12680000000,911190000000,6658,136866
2011,Parbhani,27140000000,3630000000,1610000000,120000000,32510000000,2880000000,35380000000,18540000000,1620000000,6890000000,27040000000,29910000000,8790000000,460000000,3210000000,70000000,1150000000,10390000000,12650000000,2500000000,5230000000,44450000000,106870000000,17490000000,2820000000,121540000000,1846,65823
2012,Parbhani,29840000000,3790000000,1580000000,90000000,35300000000,2550000000,37840000000,19820000000,1670000000,6550000000,28040000000,30590000000,9650000000,480000000,3520000000,70000000,1200000000,11180000000,13570000000,2520000000,5720000000,47910000000,113790000000,19410000000,3570000000,129630000000,1864,69537
2013,Parbhani,30270000000,4670000000,1530000000,70000000,36540000000,1420000000,37960000000,22470000000,1280000000,6720000000,30480000000,31900000000,9470000000,490000000,3600000000,80000000,1220000000,12740000000,15040000000,2570000000,6340000000,51550000000,119990000000,20290000000,3530000000,136740000000,1882,72664
2014,Parbhani,20900000000,6770000000,1540000000,80000000,29280000000,960000000,30240000000,23780000000,1720000000,7330000000,32830000000,33780000000,9770000000,550000000,4040000000,80000000,1410000000,13790000000,16950000000,2660000000,7190000000,56440000000,119510000000,20260000000,3240000000,136530000000,1900,71877
2015,Parbhani,10820000000,3930000000,1550000000,40000000,16340000000,1960000000,18300000000,26560000000,1820000000,7430000000,35810000000,37770000000,9680000000,580000000,4570000000,80000000,1710000000,14520000000,18570000000,2820000000,7880000000,60410000000,114520000000,19360000000,2410000000,131470000000,1917,68578
2016,Parbhani,32870000000,3700000000,1800000000,280000000,38650000000,1480000000,40130000000,28980000000,1940000000,7820000000,38740000000,40220000000,10920000000,660000000,5010000000,80000000,1590000000,15360000000,20460000000,3050000000,8810000000,65940000000,144810000000,24240000000,2460000000,166590000000,1933,86162
2017,Parbhani,22780000000,5080000000,1710000000,80000000,29650000000,2770000000,32420000000,31020000000,2020000000,7820000000,40850000000,43630000000,11520000000,750000000,5290000000,80000000,1340000000,15570000000,21390000000,3280000000,9330000000,68560000000,141840000000,24340000000,2160000000,164020000000,1949,84162
2018,Parbhani,21130000000,4010000000,1860000000,80000000,27080000000,3150000000,30240000000,32700000000,2220000000,7860000000,42790000000,45940000000,12440000000,720000000,5640000000,80000000,1320000000,16250000000,23420000000,3380000000,10090000000,73340000000,146360000000,26110000000,2240000000,170240000000,1964,86672
2019,Parbhani,22330000000,4080000000,1810000000,30000000,28260000000,2320000000,30570000000,32130000000,2330000000,7940000000,42400000000,44720000000,13130000000,750000000,6020000000,90000000,1480000000,16810000000,25330000000,3970000000,11110000000,78680000000,151650000000,26990000000,2460000000,176180000000,1979,89007
2011,Pune,70890000000,29010000000,8510000000,1500000000,109910000000,11070000000,120980000000,261480000000,22790000000,97160000000,381420000000,392490000000,123990000000,6480000000,45270000000,1000000000,16290000000,146640000000,178390000000,35200000000,73840000000,627100000000,1129500000000,184800000000,29800000000,1284510000000,9501,135190
2012,Pune,67540000000,30010000000,8570000000,1700000000,107820000000,5800000000,113620000000,280610000000,23580000000,92770000000,396950000000,402750000000,136690000000,6730000000,49790000000,1020000000,17040000000,158220000000,192090000000,35670000000,81040000000,678310000000,1188880000000,202420000000,37240000000,1354050000000,9625,140677
2013,Pune,69710000000,38020000000,8660000000,1490000000,117890000000,2780000000,120670000000,312660000000,17870000000,93530000000,424060000000,426840000000,131720000000,6760000000,50140000000,1050000000,16940000000,177250000000,209320000000,35810000000,88240000000,717220000000,1261950000000,213440000000,37150000000,1438240000000,9749,147520
2014,Pune,65740000000,42980000000,8940000000,1600000000,119270000000,4460000000,123730000000,328350000000,23730000000,101230000000,453310000000,457770000000,134910000000,7570000000,55840000000,1090000000,19440000000,190430000000,234100000000,36800000000,99240000000,779420000000,1356460000000,230240000000,36820000000,1549880000000,9874,156968
2015,Pune,65160000000,38230000000,9020000000,1490000000,113900000000,6260000000,120160000000,370470000000,25330000000,103680000000,499470000000,505730000000,135070000000,8050000000,63800000000,1090000000,23790000000,202480000000,258950000000,39260000000,109960000000,842480000000,1462110000000,246980000000,30740000000,1678350000000,9999,167859
2016,Pune,65440000000,44540000000,10860000000,290000000,121130000000,2760000000,123890000000,402680000000,26920000000,108710000000,538310000000,541070000000,151780000000,9210000000,69570000000,1090000000,22060000000,213500000000,284290000000,42410000000,122370000000,916280000000,1578480000000,264500000000,26890000000,1816090000000,10117,179503
2017,Pune,71870000000,40650000000,11480000000,390000000,124400000000,2010000000,126410000000,436190000000,28370000000,109920000000,574480000000,576490000000,162040000000,10590000000,74340000000,1150000000,18900000000,218960000000,300740000000,46130000000,131220000000,964090000000,1664970000000,285800000000,25320000000,1925450000000,10232,188182
2018,Pune,66760000000,48420000000,13180000000,390000000,128740000000,2550000000,131300000000,460020000000,31280000000,110620000000,601920000000,604470000000,175060000000,10170000000,79360000000,1180000000,18510000000,228610000000,329420000000,47500000000,141890000000,1031720000000,1764930000000,315210000000,27020000000,2053120000000,10347,198434
2019,Pune,90570000000,50670000000,13200000000,470000000,154910000000,1420000000,156330000000,453260000000,32900000000,111960000000,598130000000,599540000000,185150000000,10570000000,84940000000,1230000000,20840000000,237070000000,357270000000,56000000000,156760000000,1109830000000,1864280000000,329640000000,30100000000,2163820000000,10462,206833
2011,Raigad,11730000000,2020000000,8950000000,1350000000,24040000000,70960000000,95000000000,41410000000,3610000000,15390000000,60400000000,131360000000,19630000000,1030000000,7170000000,160000000,2580000000,23220000000,28250000000,5580000000,11690000000,99310000000,254710000000,41680000000,6720000000,289670000000,2650,109305
2012,Raigad,12040000000,2170000000,9110000000,1330000000,24650000000,66890000000,91540000000,46030000000,3870000000,15220000000,65110000000,132000000000,22420000000,1100000000,8170000000,170000000,2790000000,25950000000,31510000000,5850000000,13290000000,111260000000,267910000000,45840000000,8430000000,305310000000,2677,114036
2013,Raigad,13270000000,1620000000,9260000000,1380000000,25530000000,55510000000,81040000000,55300000000,3160000000,16540000000,75000000000,130510000000,23300000000,1200000000,8870000000,180000000,3000000000,31350000000,37020000000,6330000000,15610000000,126850000000,282890000000,48090000000,8370000000,322610000000,2704,119289
2014,Raigad,20220000000,3000000000,9850000000,1250000000,34320000000,69070000000,103380000000,59910000000,4330000000,18470000000,82720000000,151780000000,24620000000,1380000000,10190000000,200000000,3550000000,34750000000,42720000000,6710000000,18110000000,142220000000,328320000000,53320000000,8530000000,373120000000,2732,136591
2015,Raigad,21760000000,3110000000,10070000000,1010000000,35960000000,83830000000,119790000000,66000000000,4510000000,18470000000,88980000000,172820000000,24060000000,1430000000,11370000000,190000000,4240000000,36070000000,46130000000,6990000000,19590000000,150090000000,358860000000,57580000000,7170000000,409280000000,2759,148358
2016,Raigad,17030000000,3050000000,13330000000,1390000000,34800000000,88720000000,123520000000,72830000000,4870000000,19660000000,97360000000,186080000000,27450000000,1670000000,12580000000,200000000,3990000000,38610000000,51410000000,7670000000,22130000000,165710000000,386590000000,61070000000,6210000000,441450000000,2784,158567
2017,Raigad,17760000000,2090000000,13290000000,1790000000,34940000000,94420000000,129350000000,79670000000,5180000000,20080000000,104930000000,199350000000,29600000000,1930000000,13580000000,210000000,3450000000,39990000000,54930000000,8430000000,23970000000,176090000000,410380000000,65810000000,5830000000,470360000000,2808,167505
2018,Raigad,16010000000,3110000000,15410000000,2160000000,36690000000,100120000000,136810000000,85660000000,5820000000,20600000000,112080000000,212200000000,32600000000,1890000000,14780000000,220000000,3450000000,42570000000,61340000000,8850000000,26420000000,192110000000,441000000000,72650000000,6230000000,507420000000,2832,179175
2019,Raigad,14170000000,3270000000,15530000000,1400000000,34370000000,106540000000,140910000000,86920000000,6310000000,21470000000,114700000000,221240000000,35510000000,2030000000,16290000000,240000000,4000000000,45460000000,68510000000,10740000000,30060000000,212840000000,468450000000,74460000000,6800000000,536110000000,2856,187722
2011,Ratnagiri,22810000000,2180000000,3680000000,2340000000,31010000000,980000000,31990000000,23090000000,2010000000,8580000000,33680000000,34660000000,10950000000,570000000,4000000000,90000000,1440000000,12950000000,15750000000,3110000000,6520000000,55370000000,121040000000,19800000000,3190000000,137650000000,1623,84833
2012,Ratnagiri,23260000000,2340000000,3700000000,2580000000,31880000000,1150000000,33030000000,24340000000,2040000000,8040000000,34420000000,35570000000,11850000000,580000000,4320000000,90000000,1480000000,13720000000,16660000000,3090000000,7030000000,58820000000,126280000000,21660000000,3990000000,143950000000,1635,88019
2013,Ratnagiri,26890000000,1930000000,3680000000,3030000000,35520000000,310000000,35830000000,27530000000,1570000000,8230000000,37330000000,37640000000,11600000000,600000000,4410000000,90000000,1490000000,15600000000,18430000000,3150000000,7770000000,63140000000,136300000000,23090000000,4020000000,155370000000,1648,94267
2014,Ratnagiri,41100000000,1920000000,3830000000,3310000000,50160000000,710000000,50880000000,28950000000,2090000000,8920000000,39960000000,40680000000,11890000000,670000000,4920000000,100000000,1710000000,16790000000,20640000000,3240000000,8750000000,68710000000,159550000000,27010000000,4320000000,182240000000,1661,109723
2015,Ratnagiri,27610000000,1800000000,3880000000,2620000000,35900000000,3100000000,39000000000,32400000000,2210000000,9070000000,43680000000,46780000000,11810000000,700000000,5580000000,100000000,2080000000,17710000000,22650000000,3430000000,9620000000,73680000000,156360000000,26140000000,3250000000,179240000000,1673,107109
2016,Ratnagiri,34540000000,1840000000,4840000000,3830000000,45060000000,2800000000,47860000000,35150000000,2350000000,9490000000,46980000000,49780000000,13250000000,800000000,6070000000,90000000,1930000000,18630000000,24810000000,3700000000,10680000000,79970000000,174810000000,29060000000,2950000000,200920000000,1685,119247
2017,Ratnagiri,39920000000,2070000000,4680000000,2410000000,49070000000,8040000000,57110000000,37350000000,2430000000,9410000000,49200000000,57240000000,13880000000,910000000,6370000000,100000000,1620000000,18750000000,25750000000,3950000000,11240000000,82560000000,188870000000,31700000000,2810000000,217760000000,1695,128436
2018,Ratnagiri,30520000000,2190000000,7350000000,2430000000,42490000000,6330000000,48810000000,39790000000,2710000000,9570000000,52060000000,58390000000,15140000000,880000000,6860000000,100000000,1600000000,19770000000,28490000000,4110000000,12270000000,89240000000,190120000000,33320000000,2860000000,220580000000,1706,129304
2019,Ratnagiri,28330000000,2280000000,7380000000,2520000000,40500000000,2460000000,42970000000,39760000000,2890000000,9820000000,52460000000,54930000000,16240000000,930000000,7450000000,110000000,1830000000,20790000000,31340000000,4910000000,13750000000,97350000000,192780000000,33770000000,3080000000,223470000000,1716,130207
2011,Sangli,44850000000,19040000000,7460000000,140000000,71490000000,4220000000,75720000000,40020000000,3490000000,14870000000,58380000000,62600000000,18980000000,990000000,6930000000,150000000,2490000000,22440000000,27300000000,5390000000,11300000000,95980000000,230070000000,37640000000,6070000000,261640000000,2837,92225
2012,Sangli,35910000000,20070000000,7960000000,180000000,64120000000,2330000000,66450000000,43210000000,3630000000,14280000000,61120000000,63450000000,21050000000,1040000000,7670000000,160000000,2620000000,24360000000,29580000000,5490000000,12480000000,104450000000,232010000000,39510000000,7270000000,264250000000,2863,92315
2013,Sangli,46180000000,20320000000,8010000000,0,74510000000,1200000000,75720000000,48420000000,2770000000,14480000000,65670000000,66880000000,20400000000,1050000000,7760000000,160000000,2620000000,27450000000,32420000000,5550000000,13670000000,111070000000,252460000000,42680000000,7430000000,287710000000,2888,99630
2014,Sangli,44120000000,18420000000,8430000000,140000000,71110000000,590000000,71700000000,51110000000,3690000000,15760000000,70560000000,71150000000,21000000000,1180000000,8690000000,170000000,3030000000,29640000000,36440000000,5730000000,15450000000,121320000000,263580000000,44660000000,7140000000,301100000000,2913,103360
2015,Sangli,40180000000,18010000000,8620000000,170000000,66980000000,620000000,67600000000,57740000000,3950000000,16160000000,77850000000,78470000000,21050000000,1260000000,9940000000,170000000,3710000000,31560000000,40360000000,6120000000,17140000000,131310000000,276760000000,46670000000,5810000000,317620000000,2938,108099
2016,Sangli,43210000000,24350000000,11170000000,170000000,78890000000,1610000000,80500000000,62270000000,4160000000,16810000000,83240000000,84850000000,23470000000,1420000000,10760000000,170000000,3410000000,33020000000,43960000000,6560000000,18920000000,141690000000,305430000000,51110000000,5200000000,351350000000,2961,118644
2017,Sangli,38660000000,22340000000,11020000000,180000000,72200000000,280000000,72480000000,67850000000,4410000000,17100000000,89360000000,89640000000,25210000000,1650000000,11560000000,180000000,2940000000,34060000000,46780000000,7180000000,20410000000,149970000000,311810000000,53420000000,4730000000,360490000000,2983,120849
2018,Sangli,37690000000,28960000000,12590000000,160000000,79410000000,320000000,79730000000,71570000000,4870000000,17210000000,93650000000,93970000000,27240000000,1580000000,12350000000,180000000,2880000000,35570000000,51250000000,7390000000,22070000000,160510000000,333890000000,59500000000,5100000000,388280000000,3005,129229
2019,Sangli,41220000000,30400000000,12690000000,130000000,84440000000,70000000,84510000000,70560000000,5120000000,17430000000,93110000000,93180000000,28820000000,1640000000,13220000000,190000000,3240000000,36910000000,55620000000,8720000000,24400000000,172770000000,350380000000,61770000000,5640000000,406510000000,3026,134337
2011,Satara,37990000000,14610000000,5170000000,150000000,57920000000,180000000,58100000000,43330000000,3780000000,16100000000,63210000000,63390000000,20550000000,1070000000,7500000000,170000000,2700000000,24300000000,29560000000,5830000000,12240000000,103930000000,225230000000,36850000000,5940000000,256140000000,3018,84864
2012,Satara,31770000000,15280000000,5130000000,200000000,52390000000,350000000,52740000000,46230000000,3880000000,15280000000,65390000000,65740000000,22520000000,1110000000,8200000000,170000000,2810000000,26070000000,31650000000,5880000000,13350000000,111740000000,229880000000,39100000000,7190000000,261780000000,3043,86022
2013,Satara,40620000000,16260000000,5040000000,10000000,61930000000,1080000000,63010000000,51140000000,2920000000,15300000000,69360000000,70440000000,21540000000,1110000000,8200000000,170000000,2770000000,28990000000,34240000000,5860000000,14430000000,117310000000,249670000000,42220000000,7350000000,284540000000,3068,92751
2014,Satara,33030000000,16820000000,5190000000,110000000,55140000000,1670000000,56810000000,53660000000,3880000000,16540000000,74080000000,75740000000,22050000000,1240000000,9120000000,180000000,3180000000,31120000000,38250000000,6010000000,16220000000,127370000000,258250000000,43770000000,7000000000,295030000000,3092,95406
2015,Satara,37590000000,18660000000,5230000000,130000000,61610000000,3150000000,64760000000,60170000000,4110000000,16840000000,81120000000,84270000000,21940000000,1310000000,10360000000,180000000,3860000000,32890000000,42060000000,6380000000,17860000000,136830000000,282700000000,47720000000,5940000000,324480000000,3117,104112
2016,Satara,33030000000,20910000000,6220000000,190000000,60340000000,940000000,61280000000,65930000000,4410000000,17800000000,88140000000,89070000000,24850000000,1510000000,11390000000,180000000,3610000000,34960000000,46550000000,6940000000,20040000000,150020000000,299440000000,50120000000,5100000000,344470000000,3139,109741
2017,Satara,37210000000,24790000000,6470000000,220000000,68690000000,140000000,68830000000,71640000000,4660000000,18050000000,94350000000,94480000000,26610000000,1740000000,12210000000,190000000,3100000000,35960000000,49390000000,7580000000,21550000000,158330000000,321510000000,55090000000,4880000000,371720000000,3160,117649
