Year,District,Rural/Urban,Fire-wood,Crop residue,Cowdung Cake,"Coal, Lignite, Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Other,No cooking
2011,Mumbai,Rural,0,0,0,0,0,0,0,0,0,0
2011,Mumbai,Urban,11426,2440,829,570,111123,494883,241,1729,1044,13453
2001,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0
2001,Mumbai Suburban,Urban,17774,7901,1305,503,726443,1008048,137,1252,1640,9329
2011,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0
2011,Mumbai Suburban,Urban,43518,7517,2224,918,357625,1586946,822,5928,3762,18483
2001,Nagpur,Rural,230660,6409,2481,3712,11716,37538,267,674,168,692
2001,Nagpur,Urban,86841,6542,1198,17132,82104,298076,141,485,1364,2324
2011,Nagpur,Rural,229878,6255,1426,1676,4563,78374,202,484,356,1354
2011,Nagpur,Urban,88357,3187,1240,14742,35482,521406,261,701,1462,4402
2001,Nanded,Rural,339013,45410,5238,114,7939,11264,639,338,167,423
2001,Nanded,Urban,44652,3517,497,79,25582,37573,300,55,143,596
2011,Nanded,Rural,388011,65304,3789,436,869,26956,309,474,484,992
2011,Nanded,Urban,66582,4339,653,324,5773,89328,200,480,139,861
2001,Nandurbar,Rural,161058,27286,8968,65,2942,13597,142,668,303,426
2001,Nandurbar,Urban,8692,1687,501,41,4695,19117,27,54,51,206
2011,Nandurbar,Rural,206902,31902,6336,200,1062,22775,161,342,358,495
2011,Nandurbar,Urban,13708,1058,574,89,1575,31560,9,65,37,415
2001,Nashik,Rural,362484,19108,27395,230,27989,87518,671,2411,742,1167
2001,Nashik,Urban,24614,4085,1601,201,97728,215992,98,808,192,1724
2011,Nashik,Rural,439222,17442,18405,788,12764,166613,589,1512,881,3761
2011,Nashik,Urban,59443,3922,2223,668,73605,370168,161,888,599,6639
2001,Parbhani,Rural,151486,37778,8179,29,2962,2039,525,153,180,234
2001,Parbhani,Urban,36288,3235,742,99,15432,23068,574,251,32,317
2011,Parbhani,Rural,169909,68464,4028,189,929,11426,189,197,213,519
2011,Parbhani,Urban,48159,3182,506,182,3090,47846,171,218,92,677
2001,Pune,Rural,364268,22433,12943,445,57128,100889,469,5857,220,1908
2001,Pune,Urban,27753,5758,1389,519,250887,578152,153,896,771,6772
2011,Pune,Rural,361798,10732,10320,915,37322,310231,489,5975,793,5539
2011,Pune,Urban,48729,3808,1825,1022,147882,1100217,383,2762,973,24892
2001,Raigad,Rural,233788,6034,1191,133,41239,73220,201,1800,56,1083
2001,Raigad,Urban,8617,824,145,58,25215,76710,119,357,33,805
2011,Raigad,Rural,200138,3398,1345,271,19736,146184,265,1404,533,3246
2011,Raigad,Urban,14529,1012,503,183,17870,182093,187,675,195,2747
2001,Ratnagiri,Rural,274225,4397,144,53,15327,30952,130,2275,49,978
2001,Ratnagiri,Urban,5366,312,34,24,6876,24758,5,172,2,526
2011,Ratnagiri,Rural,268643,2975,343,123,4988,53487,219,1357,169,1341
2011,Ratnagiri,Urban,8517,195,76,37,2753,47373,8,73,51,651
2001,Sangli,Rural,228671,40862,31789,125,12114,47536,245,8548,1526,1121
2001,Sangli,Urban,21956,3867,2401,150,28057,64662,16,627,119,797
2011,Sangli,Rural,239083,22632,26818,394,7364,119987,223,12771,948,2359
2011,Sangli,Urban,22394,2205,1012,267,17252,107047,57,480,132,1802
2001,Satara,Rural,324626,21533,6077,137,20567,89945,297,7081,226,1484
2001,Satara,Urban,11131,1004,132,48,10748,50433,7,180,56,746
2011,Satara,Rural,309785,11254,4566,432,7457,174761,221,6095,589,3027
2011,Satara,Urban,16552,633,234,175,5918,96425,23,195,132,1525
2001,Sindhudurg,Rural,141474,2314,110,64,8741,15022,60,3829,45,475
2001,Sindhudurg,Urban,2635,77,22,26,4095,10991,0,54,9,235
2011,Sindhudurg,Rural,144767,2989,187,74,3807,25267,89,2193,173,948
2011,Sindhudurg,Urban,4541,118,48,18,2269,17273,5,73,14,266
2001,Solapur,Rural,379227,39823,19944,258,21948,26441,797,1129,429,991
2001,Solapur,Urban,39673,5193,1911,363,84699,90039,112,858,112,1128
2011,Solapur,Rural,459911,22019,8843,682,10171,75661,580,2622,558,2659
2011,Solapur,Urban,48016,2513,1753,771,46492,172594,80,611,266,2179
2001,Thane,Rural,297028,6338,3569,145,51858,65914,211,2310,105,618
2001,Thane,Urban,42616,6222,1826,786,433706,776245,298,1853,529,7842
2011,Thane,Rural,330465,4749,2742,435,34139,148968,293,1275,427,2904
2011,Thane,Urban,80794,6768,2998,1609,323360,1461492,737,4662,2513,19286
2001,Wardha,Rural,146430,17109,730,212,5848,21849,66,784,209,609
2001,Wardha,Urban,14455,1173,228,337,11668,37132,4,77,19,403
2011,Wardha,Rural,140129,23214,645,160,1223,43132,128,455,152,1046
2011,Wardha,Urban,15328,908,233,907,2835,70897,24,79,60,1125
2001,Washim,Rural,148381,13433,1844,109,2707,5196,185,370,189,250
2001,Washim,Urban,13024,1276,477,39,4378,10580,26,23,10,137
2011,Washim,Rural,178982,17434,1724,94,760,17298,126,346,163,563
2011,Washim,Urban,18087,838,386,31,1151,19542,14,23,47,283
2001,Yavatmal,Rural,355338,28587,1522,1347,7169,24702,320,1782,363,856
2001,Yavatmal,Urban,29097,1475,165,1464,10875,42910,27,63,34,610
2011,Yavatmal,Rural,413970,37476,1456,1272,1811,54078,276,869,292,1541
2011,Yavatmal,Urban,38908,1623,155,1270,3683,80422,52,119,115,997
