Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female,Unnamed: 12
1991,Nagpur,Nagaland,40,10,30,10,0,10,30,10,20,
1991,Nagpur,Odisha,2390,1350,1040,840,450,390,1550,900,650,
1991,Nagpur,Punjab,4050,2110,1940,260,160,100,3790,1950,1840,
1991,Nagpur,Rajasthan,4140,2040,2100,260,150,110,3880,1890,1990,
1991,Nagpur,Sikkim,40,10,30,0,0,0,40,10,30,
1991,Nagpur,Tamil Nadu,3490,1780,1710,180,100,80,3310,1680,1630,
1991,Nagpur,Tripura,130,110,20,0,0,0,130,110,20,
1991,Nagpur,Uttar Pradesh,25544,14396,11148,3106,2006,1100,22438,12390,10048,
1991,Nagpur,West Bengal,5390,2700,2690,230,130,100,5160,2570,2590,
1991,Nagpur,Andaman & Nicobar Islands,240,80,160,110,10,100,130,70,60,
1991,Nagpur,Chandigarh,170,100,70,0,0,0,170,100,70,
1991,Nagpur,Dadra & Nagar Haveli,20,20,0,0,0,0,20,20,0,
1991,Nagpur,Daman & Diu,10,0,10,10,0,10,0,0,0,
1991,Nagpur,NCT of Delhi,1710,830,880,100,60,40,1610,770,840,
1991,Nagpur,Lakshadweep,0,0,0,0,0,0,0,0,0,
1991,Nagpur,Puducherry,40,30,10,0,0,0,40,30,10,
1991,Bhandara,Andhra Pradesh,1370,740,630,580,370,210,790,370,420,
1991,Bhandara,Arunachal Pradesh,10,10,0,0,0,0,10,10,0,
1991,Bhandara,Assam,60,30,30,40,10,30,20,20,0,
1991,Bhandara,Bihar,1000,620,380,300,210,90,700,410,290,
1991,Bhandara,Goa,20,20,0,0,0,0,20,20,0,
1991,Bhandara,Gujarat,2160,950,1210,500,240,260,1660,710,950,
1991,Bhandara,Haryana,250,190,60,60,40,20,190,150,40,
1991,Bhandara,Himachal Pradesh,40,20,20,20,10,10,20,10,10,
1991,Bhandara,Jammu & Kashmir,20,10,10,10,0,10,10,10,0,
1991,Bhandara,Karnataka,210,100,110,40,20,20,170,80,90,
1991,Bhandara,Kerala,380,180,200,90,30,60,290,150,140,
1991,Bhandara,Madhya Pradesh,32834,9064,23770,18310,3970,14340,14524,5094,9430,
1991,Bhandara,Maharashtra,0,0,0,0,0,0,0,0,0,
1991,Bhandara,Manipur,10,10,0,0,0,0,10,10,0,
1991,Bhandara,Meghalaya,20,0,20,20,0,20,0,0,0,
1991,Bhandara,Mizoram,30,30,0,30,30,0,0,0,0,
1991,Bhandara,Nagaland,70,10,60,50,0,50,20,10,10,
1991,Bhandara,Odisha,630,300,330,110,60,50,520,240,280,
1991,Bhandara,Punjab,476,266,210,110,50,60,366,216,150,
1991,Bhandara,Rajasthan,930,600,330,240,130,110,690,470,220,
1991,Bhandara,Sikkim,10,0,10,0,0,0,10,0,10,
1991,Bhandara,Tamil Nadu,290,170,120,120,80,40,170,90,80,
1991,Bhandara,Tripura,10,0,10,10,0,10,0,0,0,
1991,Bhandara,Uttar Pradesh,2359,1219,1140,650,360,290,1709,859,850,
1991,Bhandara,West Bengal,900,440,460,230,100,130,670,340,330,
1991,Bhandara,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,
1991,Bhandara,Chandigarh,70,10,60,60,10,50,10,0,10,
1991,Bhandara,Dadra & Nagar Haveli,20,0,20,20,0,20,0,0,0,
1991,Bhandara,Daman & Diu,0,0,0,0,0,0,0,0,0,
1991,Bhandara,NCT of Delhi,140,50,90,20,0,20,120,50,70,
1991,Bhandara,Lakshadweep,0,0,0,0,0,0,0,0,0,
1991,Bhandara,Puducherry,20,10,10,10,0,10,10,10,0,
1991,Chandrapur,Andhra Pradesh,10249,4139,6110,5670,2320,3350,4579,1819,2760,
1991,Chandrapur,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,
1991,Chandrapur,Assam,60,20,40,40,10,30,20,10,10,
1991,Chandrapur,Bihar,2160,1420,740,1400,990,410,760,430,330,
1991,Chandrapur,Goa,40,30,10,10,10,0,30,20,10,
1991,Chandrapur,Gujarat,1000,510,490,440,270,170,560,240,320,
1991,Chandrapur,Haryana,320,150,170,70,50,20,250,100,150,
1991,Chandrapur,Himachal Pradesh,70,20,50,30,0,30,40,20,20,
1991,Chandrapur,Jammu & Kashmir,60,30,30,40,20,20,20,10,10,
1991,Chandrapur,Karnataka,510,200,310,220,100,120,290,100,190,
1991,Chandrapur,Kerala,1200,690,510,690,440,250,510,250,260,
1991,Chandrapur,Madhya Pradesh,13816,6840,6976,8560,4590,3970,5256,2250,3006,
1991,Chandrapur,Maharashtra,0,0,0,0,0,0,0,0,0,
1991,Chandrapur,Manipur,10,0,10,0,0,0,10,0,10,
1991,Chandrapur,Meghalaya,10,10,0,10,10,0,0,0,0,
1991,Chandrapur,Mizoram,20,10,10,20,10,10,0,0,0,
1991,Chandrapur,Nagaland,10,0,10,0,0,0,10,0,10,
1991,Chandrapur,Odisha,1370,750,620,1200,710,490,170,40,130,
1991,Chandrapur,Punjab,810,470,340,260,200,60,550,270,280,
1991,Chandrapur,Rajasthan,820,410,410,270,140,130,550,270,280,
1991,Chandrapur,Sikkim,10,0,10,0,0,0,10,0,10,
1991,Chandrapur,Tamil Nadu,700,420,280,370,220,150,330,200,130,
1991,Chandrapur,Tripura,10,0,10,10,0,10,0,0,0,
1991,Chandrapur,Uttar Pradesh,5340,2760,2580,1380,950,430,3960,1810,2150,
1991,Chandrapur,West Bengal,1070,620,450,610,370,240,460,250,210,
1991,Chandrapur,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,
1991,Chandrapur,Chandigarh,30,30,0,10,10,0,20,20,0,
1991,Chandrapur,Dadra & Nagar Haveli,90,50,40,80,40,40,10,10,0,
1991,Chandrapur,Daman & Diu,10,10,0,10,10,0,0,0,0,
1991,Chandrapur,NCT of Delhi,110,60,50,60,40,20,50,20,30,
1991,Chandrapur,Lakshadweep,0,0,0,0,0,0,0,0,0,
1991,Chandrapur,Puducherry,10,0,10,0,0,0,10,0,10,
1991,Gadchiroli,Andhra Pradesh,9417,3300,6117,8240,2790,5450,1177,510,667,
1991,Gadchiroli,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Assam,30,10,20,30,10,20,0,0,0,
1991,Gadchiroli,Bihar,170,130,40,100,80,20,70,50,20,
1991,Gadchiroli,Goa,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Gujarat,350,120,230,50,10,40,300,110,190,
1991,Gadchiroli,Haryana,40,30,10,40,30,10,0,0,0,
1991,Gadchiroli,Himachal Pradesh,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Jammu & Kashmir,10,0,10,10,0,10,0,0,0,
1991,Gadchiroli,Karnataka,150,90,60,120,70,50,30,20,10,
1991,Gadchiroli,Kerala,250,140,110,170,90,80,80,50,30,
1991,Gadchiroli,Madhya Pradesh,4540,1570,2970,3780,1280,2500,760,290,470,
1991,Gadchiroli,Maharashtra,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Manipur,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Meghalaya,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Mizoram,10,0,10,10,0,10,0,0,0,
1991,Gadchiroli,Nagaland,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Odisha,180,120,60,170,110,60,10,10,0,
1991,Gadchiroli,Punjab,40,20,20,0,0,0,40,20,20,
1991,Gadchiroli,Rajasthan,250,150,100,110,60,50,140,90,50,
1991,Gadchiroli,Sikkim,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Tamil Nadu,100,70,30,40,40,0,60,30,30,
1991,Gadchiroli,Tripura,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Uttar Pradesh,340,250,90,140,100,40,200,150,50,
1991,Gadchiroli,West Bengal,350,150,200,290,130,160,60,20,40,
1991,Gadchiroli,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Chandigarh,10,10,0,0,0,0,10,10,0,
1991,Gadchiroli,Dadra & Nagar Haveli,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Daman & Diu,30,10,20,20,10,10,10,0,10,
1991,Gadchiroli,NCT of Delhi,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Lakshadweep,0,0,0,0,0,0,0,0,0,
1991,Gadchiroli,Puducherry,0,0,0,0,0,0,0,0,0,
2001,Nandurbar,Jammu & Kashmir,159,139,20,153,139,14,6,0,6,
2001,Nandurbar,Himachal Pradesh,14,10,4,8,6,2,6,4,2,
2001,Nandurbar,Punjab,72,51,21,39,32,7,33,19,14,
2001,Nandurbar,Chandigarh,11,8,3,7,6,1,4,2,2,
2001,Nandurbar,Uttarakhand,29,18,11,22,14,8,7,4,3,
2001,Nandurbar,Haryana,70,39,31,34,20,14,36,19,17,
2001,Nandurbar,NCT of Delhi,42,23,19,24,15,9,18,8,10,
2001,Nandurbar,Rajasthan,2701,1586,1115,1115,720,395,1586,866,720,
2001,Nandurbar,Uttar Pradesh,1430,896,534,609,377,232,821,519,302,
2001,Nandurbar,Bihar,1138,1001,137,936,874,62,202,127,75,
2001,Nandurbar,Sikkim,3,2,1,3,2,1,0,0,0,
2001,Nandurbar,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,
2001,Nandurbar,Nagaland,1,1,0,1,1,0,0,0,0,
2001,Nandurbar,Manipur,9,6,3,8,5,3,1,1,0,
2001,Nandurbar,Mizoram,1,1,0,1,1,0,0,0,0,
2001,Nandurbar,Tripura,2,1,1,2,1,1,0,0,0,
2001,Nandurbar,Meghalaya,2,0,2,1,0,1,1,0,1,
2001,Nandurbar,Assam,105,93,12,100,90,10,5,3,2,
2001,Nandurbar,West Bengal,246,181,65,116,83,33,130,98,32,
2001,Nandurbar,Jharkhand,132,88,44,67,53,14,65,35,30,
2001,Nandurbar,Odisha,275,119,156,144,82,62,131,37,94,
2001,Nandurbar,Chhattisgarh,109,41,68,42,20,22,67,21,46,
2001,Nandurbar,Madhya Pradesh,14784,4884,9900,11270,3581,7689,3514,1303,2211,
2001,Nandurbar,Gujarat,31296,8350,22946,23861,5694,18167,7435,2656,4779,
2001,Nandurbar,Daman & Diu,2,0,2,1,0,1,1,0,1,
2001,Nandurbar,Dadra & Nagar Haveli,9,5,4,5,3,2,4,2,2,
2001,Nandurbar,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Nandurbar,Andhra Pradesh,402,253,149,213,157,56,189,96,93,
2001,Nandurbar,Karnataka,301,178,123,146,112,34,155,66,89,
2001,Nandurbar,Goa,48,30,18,34,23,11,14,7,7,
2001,Nandurbar,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Nandurbar,Kerala,186,116,70,49,36,13,137,80,57,
2001,Nandurbar,Tamil Nadu,201,92,109,113,45,68,88,47,41,
2001,Nandurbar,Puducherry,1,1,0,1,1,0,0,0,0,
2001,Nandurbar,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,
2001,Dhule,Jammu & Kashmir,63,25,38,31,13,18,32,12,20,
2001,Dhule,Himachal Pradesh,31,19,12,8,4,4,23,15,8,
2001,Dhule,Punjab,502,299,203,44,25,19,458,274,184,
2001,Dhule,Chandigarh,19,8,11,2,1,1,17,7,10,
2001,Dhule,Uttarakhand,59,53,6,41,38,3,18,15,3,
2001,Dhule,Haryana,95,62,33,29,18,11,66,44,22,
2001,Dhule,NCT of Delhi,249,178,71,36,26,10,213,152,61,
2001,Dhule,Rajasthan,2499,1566,933,525,365,160,1974,1201,773,
2001,Dhule,Uttar Pradesh,2972,1765,1207,464,310,154,2508,1455,1053,
2001,Dhule,Bihar,505,405,100,247,216,31,258,189,69,
2001,Dhule,Sikkim,1,1,0,1,1,0,0,0,0,
2001,Dhule,Arunachal Pradesh,5,2,3,3,1,2,2,1,1,
2001,Dhule,Nagaland,2,1,1,0,0,0,2,1,1,
2001,Dhule,Manipur,4,1,3,3,1,2,1,0,1,
2001,Dhule,Mizoram,1,1,0,0,0,0,1,1,0,
2001,Dhule,Tripura,2,1,1,0,0,0,2,1,1,
2001,Dhule,Meghalaya,3,1,2,2,1,1,1,0,1,
2001,Dhule,Assam,26,16,10,11,4,7,15,12,3,
2001,Dhule,West Bengal,232,143,89,58,34,24,174,109,65,
2001,Dhule,Jharkhand,122,96,26,66,61,5,56,35,21,
2001,Dhule,Odisha,314,141,173,113,62,51,201,79,122,
2001,Dhule,Chhattisgarh,187,86,101,107,56,51,80,30,50,
2001,Dhule,Madhya Pradesh,24471,8658,15813,18420,6463,11957,6051,2195,3856,
2001,Dhule,Gujarat,10835,4156,6679,5801,2061,3740,5034,2095,2939,
2001,Dhule,Daman & Diu,5,3,2,3,2,1,2,1,1,
2001,Dhule,Dadra & Nagar Haveli,12,5,7,9,3,6,3,2,1,
2001,Dhule,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Dhule,Andhra Pradesh,1406,814,592,1126,686,440,280,128,152,
2001,Dhule,Karnataka,635,332,303,316,193,123,319,139,180,
2001,Dhule,Goa,26,13,13,3,2,1,23,11,12,
2001,Dhule,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Dhule,Kerala,432,234,198,70,56,14,362,178,184,
2001,Dhule,Tamil Nadu,194,119,75,53,33,20,141,86,55,
2001,Dhule,Puducherry,2,1,1,0,0,0,2,1,1,
2001,Dhule,Andaman & Nicobar Islands,5,1,4,2,1,1,3,0,3,
2001,Jalgaon,Jammu & Kashmir,98,60,38,45,29,16,53,31,22,
2001,Jalgaon,Himachal Pradesh,54,35,19,11,7,4,43,28,15,
2001,Jalgaon,Punjab,467,265,202,114,79,35,353,186,167,
2001,Jalgaon,Chandigarh,41,19,22,4,2,2,37,17,20,
2001,Jalgaon,Uttarakhand,91,52,39,29,17,12,62,35,27,
2001,Jalgaon,Haryana,201,114,87,47,28,19,154,86,68,
2001,Jalgaon,NCT of Delhi,297,167,130,63,34,29,234,133,101,
2001,Jalgaon,Rajasthan,4703,2686,2017,1168,717,451,3535,1969,1566,
2001,Jalgaon,Uttar Pradesh,5525,3184,2341,1136,718,418,4389,2466,1923,
2001,Jalgaon,Bihar,1026,669,357,297,220,77,729,449,280,
2001,Jalgaon,Sikkim,3,2,1,2,1,1,1,1,0,
2001,Jalgaon,Arunachal Pradesh,5,4,1,2,2,0,3,2,1,
2001,Jalgaon,Nagaland,2,0,2,2,0,2,0,0,0,
2001,Jalgaon,Manipur,4,3,1,4,3,1,0,0,0,
2001,Jalgaon,Mizoram,0,0,0,0,0,0,0,0,0,
2001,Jalgaon,Tripura,3,1,2,3,1,2,0,0,0,
2001,Jalgaon,Meghalaya,4,2,2,0,0,0,4,2,2,
2001,Jalgaon,Assam,99,44,55,27,13,14,72,31,41,
2001,Jalgaon,West Bengal,1109,740,369,189,126,63,920,614,306,
2001,Jalgaon,Jharkhand,238,152,86,115,88,27,123,64,59,
2001,Jalgaon,Odisha,1473,527,946,604,214,390,869,313,556,
2001,Jalgaon,Chhattisgarh,766,367,399,377,221,156,389,146,243,
2001,Jalgaon,Madhya Pradesh,52475,19493,32982,36066,13537,22529,16409,5956,10453,
2001,Jalgaon,Gujarat,9911,3809,6102,4158,1721,2437,5753,2088,3665,
2001,Jalgaon,Daman & Diu,5,2,3,3,2,1,2,0,2,
2001,Jalgaon,Dadra & Nagar Haveli,13,5,8,5,1,4,8,4,4,
2001,Jalgaon,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Jalgaon,Andhra Pradesh,2207,1232,975,1408,885,523,799,347,452,
2001,Jalgaon,Karnataka,825,405,420,213,109,104,612,296,316,
2001,Jalgaon,Goa,53,23,30,22,10,12,31,13,18,
2001,Jalgaon,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Jalgaon,Kerala,629,357,272,113,72,41,516,285,231,
2001,Jalgaon,Tamil Nadu,441,262,179,159,101,58,282,161,121,
2001,Jalgaon,Puducherry,1,1,0,0,0,0,1,1,0,
2001,Jalgaon,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Jammu & Kashmir,57,38,19,28,18,10,29,20,9,
2001,Buldhana,Himachal Pradesh,53,31,22,34,18,16,19,13,6,
2001,Buldhana,Punjab,255,151,104,141,92,49,114,59,55,
2001,Buldhana,Chandigarh,31,15,16,17,7,10,14,8,6,
2001,Buldhana,Uttarakhand,31,22,9,11,8,3,20,14,6,
2001,Buldhana,Haryana,85,49,36,27,16,11,58,33,25,
2001,Buldhana,NCT of Delhi,116,56,60,65,32,33,51,24,27,
2001,Buldhana,Rajasthan,2340,1405,935,728,464,264,1612,941,671,
2001,Buldhana,Uttar Pradesh,1588,926,662,595,377,218,993,549,444,
2001,Buldhana,Bihar,319,210,109,211,150,61,108,60,48,
2001,Buldhana,Sikkim,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Arunachal Pradesh,3,3,0,2,2,0,1,1,0,
2001,Buldhana,Nagaland,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Manipur,2,2,0,2,2,0,0,0,0,
2001,Buldhana,Mizoram,1,1,0,1,1,0,0,0,0,
2001,Buldhana,Tripura,3,1,2,2,1,1,1,0,1,
2001,Buldhana,Meghalaya,7,3,4,7,3,4,0,0,0,
2001,Buldhana,Assam,46,16,30,25,12,13,21,4,17,
2001,Buldhana,West Bengal,342,222,120,110,72,38,232,150,82,
2001,Buldhana,Jharkhand,110,71,39,84,56,28,26,15,11,
2001,Buldhana,Odisha,612,256,356,371,177,194,241,79,162,
2001,Buldhana,Chhattisgarh,951,396,555,550,270,280,401,126,275,
2001,Buldhana,Madhya Pradesh,13428,5407,8021,9569,4237,5332,3859,1170,2689,
2001,Buldhana,Gujarat,2183,886,1297,971,372,599,1212,514,698,
2001,Buldhana,Daman & Diu,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Dadra & Nagar Haveli,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Andhra Pradesh,1171,545,626,588,305,283,583,240,343,
2001,Buldhana,Karnataka,330,144,186,172,83,89,158,61,97,
2001,Buldhana,Goa,16,4,12,13,3,10,3,1,2,
2001,Buldhana,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Buldhana,Kerala,139,94,45,44,33,11,95,61,34,
2001,Buldhana,Tamil Nadu,195,132,63,66,44,22,129,88,41,
2001,Buldhana,Puducherry,2,0,2,2,0,2,0,0,0,
2001,Buldhana,Andaman & Nicobar Islands,2,1,1,2,1,1,0,0,0,
2001,Akola,Jammu & Kashmir,40,26,14,10,7,3,30,19,11,
2001,Akola,Himachal Pradesh,15,10,5,2,2,0,13,8,5,
2001,Akola,Punjab,129,71,58,39,22,17,90,49,41,
2001,Akola,Chandigarh,29,16,13,14,7,7,15,9,6,
2001,Akola,Uttarakhand,42,26,16,10,9,1,32,17,15,
2001,Akola,Haryana,169,98,71,35,19,16,134,79,55,
2001,Akola,NCT of Delhi,121,57,64,36,20,16,85,37,48,
2001,Akola,Rajasthan,2235,1154,1081,332,167,165,1903,987,916,
2001,Akola,Uttar Pradesh,3161,1722,1439,704,387,317,2457,1335,1122,
2001,Akola,Bihar,439,268,171,152,102,50,287,166,121,
2001,Akola,Sikkim,0,0,0,0,0,0,0,0,0,
2001,Akola,Arunachal Pradesh,1,0,1,0,0,0,1,0,1,
2001,Akola,Nagaland,2,1,1,2,1,1,0,0,0,
2001,Akola,Manipur,2,1,1,1,0,1,1,1,0,
2001,Akola,Mizoram,2,1,1,1,1,0,1,0,1,
2001,Akola,Tripura,4,4,0,1,1,0,3,3,0,
2001,Akola,Meghalaya,3,1,2,0,0,0,3,1,2,
2001,Akola,Assam,44,18,26,12,6,6,32,12,20,
2001,Akola,West Bengal,552,340,212,68,41,27,484,299,185,
2001,Akola,Jharkhand,203,127,76,67,54,13,136,73,63,
2001,Akola,Odisha,463,229,234,196,126,70,267,103,164,
2001,Akola,Chhattisgarh,2393,1079,1314,1148,604,544,1245,475,770,
2001,Akola,Madhya Pradesh,8079,3307,4772,3175,1478,1697,4904,1829,3075,
2001,Akola,Gujarat,2084,889,1195,341,141,200,1743,748,995,
2001,Akola,Daman & Diu,0,0,0,0,0,0,0,0,0,
2001,Akola,Dadra & Nagar Haveli,1,1,0,0,0,0,1,1,0,
2001,Akola,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Akola,Andhra Pradesh,1418,598,820,471,236,235,947,362,585,
2001,Akola,Karnataka,320,130,190,78,33,45,242,97,145,
2001,Akola,Goa,20,7,13,5,2,3,15,5,10,
2001,Akola,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Akola,Kerala,165,89,76,31,19,12,134,70,64,
2001,Akola,Tamil Nadu,268,141,127,39,17,22,229,124,105,
2001,Akola,Puducherry,3,2,1,1,1,0,2,1,1,
2001,Akola,Andaman & Nicobar Islands,2,2,0,1,1,0,1,1,0,
2001,Washim,Jammu & Kashmir,12,9,3,9,6,3,3,3,0,
2001,Washim,Himachal Pradesh,12,8,4,5,3,2,7,5,2,
2001,Washim,Punjab,51,30,21,24,21,3,27,9,18,
2001,Washim,Chandigarh,6,4,2,5,4,1,1,0,1,
2001,Washim,Uttarakhand,3,1,2,2,1,1,1,0,1,
2001,Washim,Haryana,20,9,11,14,9,5,6,0,6,
2001,Washim,NCT of Delhi,16,10,6,9,6,3,7,4,3,
2001,Washim,Rajasthan,677,399,278,253,148,105,424,251,173,
2001,Washim,Uttar Pradesh,377,225,152,204,130,74,173,95,78,
2001,Washim,Bihar,118,89,29,72,60,12,46,29,17,
2001,Washim,Sikkim,0,0,0,0,0,0,0,0,0,
2001,Washim,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,
2001,Washim,Nagaland,0,0,0,0,0,0,0,0,0,
2001,Washim,Manipur,10,0,10,0,0,0,10,0,10,
2001,Washim,Mizoram,0,0,0,0,0,0,0,0,0,
2001,Washim,Tripura,1,0,1,0,0,0,1,0,1,
2001,Washim,Meghalaya,0,0,0,0,0,0,0,0,0,
2001,Washim,Assam,23,5,18,16,4,12,7,1,6,
2001,Washim,West Bengal,79,55,24,14,7,7,65,48,17,
2001,Washim,Jharkhand,14,8,6,6,4,2,8,4,4,
2001,Washim,Odisha,72,23,49,21,7,14,51,16,35,
2001,Washim,Chhattisgarh,418,194,224,356,174,182,62,20,42,
2001,Washim,Madhya Pradesh,1365,434,931,635,238,397,730,196,534,
2001,Washim,Gujarat,435,187,248,197,86,111,238,101,137,
2001,Washim,Daman & Diu,0,0,0,0,0,0,0,0,0,
2001,Washim,Dadra & Nagar Haveli,0,0,0,0,0,0,0,0,0,
2001,Washim,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Washim,Andhra Pradesh,662,256,406,319,144,175,343,112,231,
2001,Washim,Karnataka,137,45,92,58,20,38,79,25,54,
2001,Washim,Goa,2,2,0,2,2,0,0,0,0,
2001,Washim,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Washim,Kerala,108,35,73,22,14,8,86,21,65,
2001,Washim,Tamil Nadu,51,28,23,21,14,7,30,14,16,
2001,Washim,Puducherry,5,1,4,0,0,0,5,1,4,
2001,Washim,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,
2001,Amravati,Jammu & Kashmir,78,42,36,13,4,9,65,38,27,
2001,Amravati,Himachal Pradesh,323,265,58,9,7,2,314,258,56,
2001,Amravati,Punjab,311,177,134,56,35,21,255,142,113,
2001,Amravati,Chandigarh,38,18,20,7,3,4,31,15,16,
2001,Amravati,Uttarakhand,67,45,22,13,7,6,54,38,16,
2001,Amravati,Haryana,182,99,83,24,12,12,158,87,71,
2001,Amravati,NCT of Delhi,537,226,311,101,48,53,436,178,258,
2001,Amravati,Rajasthan,2711,1477,1234,589,351,238,2122,1126,996,
2001,Amravati,Uttar Pradesh,3953,2091,1862,804,446,358,3149,1645,1504,
2001,Amravati,Bihar,750,478,272,270,205,65,480,273,207,
2001,Amravati,Sikkim,5,3,2,0,0,0,5,3,2,
2001,Amravati,Arunachal Pradesh,3,1,2,0,0,0,3,1,2,
2001,Amravati,Nagaland,5,3,2,0,0,0,5,3,2,
2001,Amravati,Manipur,24,20,4,0,0,0,24,20,4,
2001,Amravati,Mizoram,9,2,7,6,2,4,3,0,3,
2001,Amravati,Tripura,6,5,1,0,0,0,6,5,1,
2001,Amravati,Meghalaya,4,2,2,0,0,0,4,2,2,
2001,Amravati,Assam,72,36,36,19,8,11,53,28,25,
2001,Amravati,West Bengal,646,375,271,101,52,49,545,323,222,
2001,Amravati,Jharkhand,194,96,98,69,40,29,125,56,69,
2001,Amravati,Odisha,660,288,372,273,143,130,387,145,242,
2001,Amravati,Chhattisgarh,6097,2756,3341,3839,1922,1917,2258,834,1424,
2001,Amravati,Madhya Pradesh,59776,22280,37496,43693,16440,27253,16083,5840,10243,
2001,Amravati,Gujarat,2792,1259,1533,756,365,391,2036,894,1142,
2001,Amravati,Daman & Diu,1,0,1,0,0,0,1,0,1,
2001,Amravati,Dadra & Nagar Haveli,1,1,0,1,1,0,0,0,0,
2001,Amravati,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Amravati,Andhra Pradesh,2823,1317,1506,1340,736,604,1483,581,902,
2001,Amravati,Karnataka,519,207,312,127,54,73,392,153,239,
2001,Amravati,Goa,49,16,33,14,4,10,35,12,23,
2001,Amravati,Lakshadweep,0,0,0,0,0,0,0,0,0,
2001,Amravati,Kerala,386,180,206,80,40,40,306,140,166,
2001,Amravati,Tamil Nadu,382,216,166,69,41,28,313,175,138,
2001,Amravati,Puducherry,2,2,0,0,0,0,2,2,0,
2001,Amravati,Andaman & Nicobar Islands,1,1,0,0,0,0,1,1,0,
2001,Wardha,Jammu & Kashmir,63,36,27,38,22,16,25,14,11,
2001,Wardha,Himachal Pradesh,48,28,20,20,13,7,28,15,13,
2001,Wardha,Punjab,221,131,90,118,81,37,103,50,53,
2001,Wardha,Chandigarh,55,28,27,26,11,15,29,17,12,
2001,Wardha,Uttarakhand,73,37,36,41,22,19,32,15,17,
2001,Wardha,Haryana,179,99,80,111,73,38,68,26,42,
2001,Wardha,NCT of Delhi,214,113,101,125,72,53,89,41,48,
2001,Wardha,Rajasthan,1252,664,588,369,228,141,883,436,447,
2001,Wardha,Uttar Pradesh,2552,1401,1151,1040,634,406,1512,767,745,
2001,Wardha,Bihar,967,587,380,633,416,217,334,171,163,
2001,Wardha,Sikkim,3,2,1,1,1,0,2,1,1,
2001,Wardha,Arunachal Pradesh,2,1,1,2,1,1,0,0,0,
2001,Wardha,Nagaland,21,10,11,0,0,0,21,10,11,
2001,Wardha,Manipur,32,12,20,14,8,6,18,4,14,
2001,Wardha,Mizoram,4,3,1,4,3,1,0,0,0,
2001,Wardha,Tripura,11,8,3,11,8,3,0,0,0,
2001,Wardha,Meghalaya,10,7,3,8,6,2,2,1,1,
2001,Wardha,Assam,81,48,33,43,26,17,38,22,16,
2001,Wardha,West Bengal,632,352,280,351,208,143,281,144,137,
2001,Wardha,Jharkhand,335,214,121,213,148,65,122,66,56,
2001,Wardha,Odisha,353,178,175,175,108,67,178,70,108,
2001,Wardha,Chhattisgarh,13674,6772,6902,11946,6071,5875,1728,701,1027,
2001,Wardha,Madhya Pradesh,12539,6063,6476,7585,3705,3880,4954,2358,2596,
2001,Wardha,Gujarat,1352,647,705,631,319,312,721,328,393,
2001,Wardha,Daman & Diu,2,1,1,2,1,1,0,0,0,
2001,Wardha,Dadra & Nagar Haveli,4,3,1,3,2,1,1,1,0,
2001,Wardha,Maharashtra,0,0,0,0,0,0,0,0,0,
2001,Wardha,Andhra Pradesh,2130,1049,1081,1368,735,633,762,314,448,
2001,Wardha,Karnataka,335,152,183,197,95,102,138,57,81,
